"",,,,Bagh Baigi,212200703,0,357,357,,,
"",,,,Bagh Baigi,212200708,0,54,54,,,
259 Total,,,,,,0,1615,1615,0,3,3
260,"Government Girls MC Middle School,Chowk Shaheedan",,,Ghareeb Abad,212200704,0,465,465,0,2,2
"",,,,Nawen Bhoen,212200705,0,455,455,,,
260 Total,,,,,,0,920,920,0,2,2
261,"Government Girls Primary School, GuideHouse, Pul Shuwala",,,Pul Shwala,212210101,448,0,448,3,0,3
"",,,,Moh. Velvot,212210102,316,0,316,,,
"",,,,Old Sabzi Mandi,212210103,461,0,461,,,
"",,,,Old Sabzi Mandi,212210108,408,0,408,,,
261 Total,,,,,,1633,0,1633,3,0,3
262,"Government Girls Primary School, GuideHouse, Pul Shuwala",,,Tipu Sultan Colony,212210104,667,0,667,3,0,3
"",,,,Suttri Watt,212210105,409,0,409,,,
"",,,,Rasool Pura,212210106,189,0,189,,,
"",,,,Suttri Watt,212210107,236,0,236,,,
262 Total,,,,,,1501,0,1501,3,0,3
263,"Government Elementary TeachersTraining College for Women, NawanShehar",,,Pul Shwala,212210101,0,353,353,0,3,3
"",,,,Moh. Velvot,212210102,0,269,269,,,
"",,,,Old Sabzi Mandi,212210103,0,440,440,,,
"",,,,Old Sabzi Mandi,212210108,0,306,306,,,
263 Total,,,,,,0,1368,1368,0,3,3
264,"Training College for Women, NawanShehar",,,Suttri Watt,212210105,0,372,372,0,3,3
"",,,,Rasool Pura,212210106,0,191,191,,,
"",,,,Suttri Watt,212210107,0,209,209,,,
264 Total,,,,,,0,1368,1368,0,3,3
265,"General Post Office, Hassan ParwanaRoad",,,Nala Wali Mohd.,212210201,568,0,568,4,0,4
"",,,,Khawaja Colony,212210202,450,0,450,,,
"",,,,Nala Wali Mohd.,212210203,385,0,385,,,
"",,,,Khawaja Colony,212210204,356,0,356,,,
265 Total,,,,,,1759,0,1759,4,0,4
266,"Government Primary School, KhawajaColony",,,Nala Wali Mohd.,212210201,0,452,452,0,3,3
"",,,,Khawaja Colony,212210202,0,399,399,,,
"",,,,Nala Wali Mohd.,212210203,0,343,343,,,
"",,,,Khawaja Colony,212210204,0,277,277,,,
266 Total,,,,,,0,1471,1471,0,3,3
267,"General Post Office, Hassan ParwanaRoad",,,Hassan Parwana,212210301,314,0,314,2,0,2
"",,,,Hassan Parwana,212210302,229,0,229,,,
"",,,,Hassan Parwana,212210303,206,0,206,,,
"",,,,Hassan Parwana,212210304,320,0,320,,,
267 Total,,,,,,1069,0,1069,2,0,2
268,"General Post Office, Hassan ParwanaRoad",,,Hassan Parwana,212210305,823,0,823,2,0,2
"",,,,Saddu Hassam,212210306,187,0,187,,,
"",,,,Hassan Parwana,212210307,262,0,262,,,
268 Total,,,,,,1272,0,1272,2,0,2
269,"Office of the WASA, Hassan ParwanaRoad",,,Hassan Parwana,212210301,0,259,259,0,2,2
"",,,,Hassan Parwana,212210302,0,176,176,,,
"",,,,Hassan Parwana,212210303,0,185,185,,,
"",,,,Hassan Parwana,212210304,0,304,304,,,
269 Total,,,,,,0,924,924,0,2,2
270,"Office of the WASA, Hassan ParwanaRoad",,,Hassan Parwana,212210305,0,723,723,0,2,2
"",,,,Saddu Hassam,212210306,0,198,198,,,
"",,,,Hassan Parwana,212210307,0,254,254,,,
270 Total,,,,,,0,1175,1175,0,2,2
271,"Government MC Girls Primary School,Hassan Parwana Road. near AastanaChadar Wali Sarkar",,,Basti Buch,212210401,496,0,496,4,0,4
"",,,,Saddu Hassam,212210402,578,0,578,,,
"",,,,Saddu Hassam,212210403,280,0,280,,,
"",,,,Saddu Hassam,212210404,374,0,374,,,
271 Total,,,,,,1728,0,1728,4,0,4
272,"Office of the WASA, Hassan ParwanaRoad",,,Basti Buch,212210401,0,410,410,0,3,3
"",,,,Saddu Hassam,212210402,0,508,508,,,
"",,,,Saddu Hassam,212210403,0,259,259,,,
"",,,,Saddu Hassam,212210404,0,319,319,,,
272 Total,,,,,,0,1496,1496,0,3,3
273,"Government Girls High School, ChahBohar Wala",,,Basti Buch,212210405,385,0,385,3,0,3
"",,,,Saddu Hassam,212210501,328,0,328,,,
"",,,,Jalil Abad,212210502,373,0,373,,,
"",,,,Jalil Abad,212210503,269,0,269,,,
273 Total,,,,,,1355,0,1355,3,0,3
274,"Office of the SDO (WAPDA), Chah BoharWala",,,Basti Buch,212210405,0,392,392,0,2,2
"",,,,Saddu Hassam,212210501,0,290,290,,,
"",,,,Jalil Abad,212210502,0,360,360,,,
"",,,,Jalil Abad,212210503,0,225,225,,,
274 Total,,,,,,0,1267,1267,0,2,2
275,Bohar Wala,,,Jalil Abad,212210505,509,0,509,2,0,2
"",,,,Chah Boharwala,212210506,486,0,486,,,
275 Total,,,,,,1232,0,1232,2,0,2
276,"Office of the SDO (WAPDA), Chah BoharWala",,,Jalil Abad,212210504,0,236,236,0,2,2
"",,,,Jalil Abad,212210505,0,448,448,,,
"",,,,Chah Boharwala,212210506,0,447,447,,,
276 Total,,,,,,0,1131,1131,0,2,2
277,"Government Girls High School, ChahBohar Wala",,,Chah Boharwala,212210601,516,0,516,3,0,3
"",,,,Chah Boharwala,212210602,285,0,285,,,
"",,,,Chah Boharwala,212210603,557,0,557,,,
277 Total,,,,,,1358,0,1358,3,0,3
278,"Government Boys Primary School, ChahBohar Wala",,,Chah Boharwala,212210601,0,458,458,0,2,2
"",,,,Chah Boharwala,212210602,0,271,271,,,
"",,,,Chah Boharwala,212210603,0,557,557,,,
278 Total,,,,,,0,1286,1286,0,2,2
279,"Government Girls High School, ChahBohar Wala",,,Habib Afshar Colony,212210604,311,0,311,2,0,2
"",,,,Habib Afshar Colony,212210605,330,0,330,,,
"",,,,Gujjar Khadda,212210606,577,0,577,,,
279 Total,,,,,,1218,0,1218,2,0,2
280,"Government Boys Primary School, ChahBohar Wala",,,Habib Afshar Colony,212210604,0,244,244,0,2,2
"",,,,Habib Afshar Colony,212210605,0,335,335,,,
"",,,,Gujjar Khadda,212210606,0,495,495,,,
280 Total,,,,,,0,1074,1074,0,2,2
281,"Government Girls Elementary School,Lohari Gate, Chowk Fawara",,,Shah Yousaf Gerdez,212220101,210,0,210,2,0,2
"",,,,St.Imam Din Wali,212220102,427,0,427,,,
"",,,,St.Imam Din Wali,212220103,393,0,393,,,
281 Total,,,,,,1030,0,1030,2,0,2
282,"Government Girls Elementary School,Lohari Gate, Chowk Fawara",,,Qadeer Abad,212220104,451,0,451,3,0,3
"",,,,Qadeer Abad,212220105,542,0,542,,,
"",,,,Qadeer Abad,212220106,271,0,271,,,
"",,,,Moh.Badozai,212220107,356,0,356,,,
282 Total,,,,,,1620,0,1620,3,0,3
283,"Government Girls Elementary School,Lohari Gate, Chowk Fawara (EDO OfficePortion)",,,Shah Yousaf Gerdez,212220101,0,155,155,0,2,2
"",,,,St.Imam Din Wali,212220102,0,403,403,,,
"",,,,St.Imam Din Wali,212220103,0,316,316,,,
283 Total,,,,,,0,874,874,0,2,2
284,"Government Girls Primary School,Teenan Wali Khoi",,,Qadeer Abad,212220104,0,390,390,0,3,3
"",,,,Qadeer Abad,212220105,0,469,469,,,
"",,,,Qadeer Abad,212220106,0,227,227,,,
"",,,,Moh.Badozai,212220107,0,311,311,,,
284 Total,,,,,,0,1397,1397,0,3,3
285,"Government High School, Rifah-e-Aam",,,Qadeer Abad,212220201,579,0,579,3,0,3
"",,,,Peer Pathan,212220202,608,0,608,,,
"",,,,Qadeer Abad,212220203,457,0,457,,,
285 Total,,,,,,1644,0,1644,3,0,3
286,"Government High School, Rifah-e-Aam",,,Qadeer Abad,212220204,566,0,566,4,0,4
"",,,,Qadeer Abad,212220205,442,0,442,,,
"",,,,Qadeer Abad,212220206,298,0,298,,,
"",,,,Qadeer Abad,212220207,755,0,755,,,
286 Total,,,,,,2061,0,2061,4,0,4
"",,Qadeer Abad,212220201,0,506,506,,,,,
"",,Peer Pathan,212220202,0,530,530,,,,,
287 Total,,,,,,0,1438,1438,0,3,3
288,"Office of the Girls Guide, Bagh LangeyKhan",,,Qadeer Abad,212220204,0,480,480,0,4,4
"",,,,Qadeer Abad,212220205,0,387,387,,,
"",,,,Qadeer Abad,212220206,0,251,251,,,
"",,,,Qadeer Abad,212220207,0,638,638,,,
288 Total,,,,,,0,1756,1756,0,4,4
289,"Government Pilot Secondary SchoolNawan Sheher",,,Kirri Misri Khan,212220301,474,0,474,2,0,2
"",,,,Kirri Misri Khan,212220306,84,0,84,,,
"",,,,Kirri Misri Khan,212220302,373,0,373,,,
"",,,,Kirri Misri Khan,212220307,349,0,349,,,
289 Total,,,,,,1280,0,1280,2,0,2
290,"Government Pilot Secondary SchoolNawan Sheher",,,Gulshan Abad,212220303,1151,0,1151,3,0,3
"",,,,Gulnar Colony,212220304,171,0,171,,,
"",,,,Bukhari Colony,212220305,256,0,256,,,
290 Total,,,,,,1578,0,1578,3,0,3
291,"Government Exellent English ElementarySchool (Primary Portion)",,,Kirri Misri Khan,212220301,0,431,431,0,2,2
"",,,,Kirri Misri Khan,212220306,0,85,85,,,
"",,,,Kirri Misri Khan,212220302,0,344,344,,,
"",,,,Kirri Misri Khan,212220307,0,230,230,,,
291 Total,,,,,,0,1090,1090,0,2,2
292,"Government Exellent English ElementarySchool (Primary Portion)",,,Gulshan Abad,212220303,0,918,918,0,2,2
"",,,,Gulnar Colony,212220304,0,152,152,,,
"",,,,Bukhari Colony,212220305,0,210,210,,,
292 Total,,,,,,0,1280,1280,0,2,2
293,"Government Pilot Secondary SchoolNawan Sheher",,,Bukhari Colony,212220401,451,0,451,2,0,2
"",,,,Bukhari Colony,212220402,161,0,161,,,
"",,,,Gul Din Colony,212220403,311,0,311,,,
293 Total,,,,,,923,0,923,2,0,2
294,"Government Pilot Secondary SchoolNawan Sheher",,,Hanif Colony,212220404,355,0,355,3,0,3
"",,,,Hanif Colony,212220406,441,0,441,,,
"",,,,Pul Shawala,212220405,509,0,509,,,
294 Total,,,,,,1305,0,1305,3,0,3
295,"Government Girls Pilot Sec. School,Nawan Sheher",,,Bukhari Colony,212220401,0,426,426,0,2,2
"",,,,Bukhari Colony,212220402,0,160,160,,,
"",,,,Gul Din Colony,212220403,0,265,265,,,
295 Total,,,,,,0,851,851,0,2,2
296,"Government Girls Pilot Sec. School,Nawan Sheher",,,Hanif Colony,212220404,0,276,276,0,2,2
"",,,,Hanif Colony,212220406,0,365,365,,,
"",,,,Pul Shawala,212220405,0,435,435,,,
296 Total,,,,,,0,1076,1076,0,2,2
297,"Government Canal Office, Abdali Road",,,Bukhari Colony,212220501,469,0,469,3,0,3
"",,,,Bukhari Colony,212220502,307,0,307,,,
"",,,,Bukhari Colony,212220503,741,0,741,,,
297 Total,,,,,,1517,0,1517,3,0,3
298,"Government Canal Office, Abdali Road",,,Kath Kap,212220504,449,0,449,3,0,3
"",,,,Street Dakkhane wali,212220505,250,0,250,,,
"",,,,Street Dakkhane wali,212220508,669,0,669,,,
298 Total,,,,,,1368,0,1368,3,0,3
299,"Government MC Boys Elementary School,Nawan Sheher",,,Moh. Darkhana,212220506,905,0,905,3,0,3
"",,Baghbanpura,212220507,449,0,449,,,,,
300,"Regional Tax Office, Nawan Sheher",,,Bukhari Colony,212220501,0,416,416,0,3,3
"",,,,Bukhari Colony,212220502,0,305,305,,,
"",,,,Bukhari Colony,212220503,0,690,690,,,
300 Total,,,,,,0,1411,1411,0,3,3
301,"Regional Tax Office, Nawan Sheher",,,Kath Kap,212220504,0,420,420,0,2,2
"",,,,Street Dakkhane wali,212220505,0,340,340,,,
"",,,,Street Dakkhane wali,212220508,0,508,508,,,
301 Total,,,,,,0,1268,1268,0,2,2
302,"Government Girls Primary School, BeriWala, Nawan Sheher",,,Moh. Darkhana,212220506,0,745,745,0,2,2
"",,,,Baghbanpura,212220507,0,382,382,,,
302 Total,,,,,,0,1127,1127,0,2,2
303,"Forest Office, District Jail Road",,,Kotla Waris Shah,212230101,612,0,612,3,0,3
"",,,,Kotla Waris Shah,212230102,256,0,256,,,
"",,,,Haji Pura,212230103,534,0,534,,,
303 Total,,,,,,1402,0,1402,3,0,3
304,"Forest Office, District Jail Road",,,Gulshan Siddiq,212230104,327,0,327,3,0,3
"",,,,Gulshan Siddiq,212230107,387,0,387,,,
"",,,,Kotla Waris Shah,212230105,239,0,239,,,
"",,,,Saman Shahwala,212230106,247,0,247,,,
"",,,,Saman Shahwala,212230108,387,0,387,,,
304 Total,,,,,,1587,0,1587,3,0,3
305,"Office of the Provincial Buildings, JailRoad",,,Kotla Waris Shah,212230101,0,545,545,0,2,2
"",,,,Kotla Waris Shah,212230102,0,209,209,,,
"",,,,Haji Pura,212230103,0,457,457,,,
305 Total,,,,,,0,1211,1211,0,2,2
306,"Drug Testing Lab, Jail Road",,,Gulshan Siddiq,212230104,0,322,322,0,3,3
"",,,,Gulshan Siddiq,212230107,0,269,269,,,
"",,,,Kotla Waris Shah,212230105,0,180,180,,,
"",,,,Saman Shahwala,212230106,0,354,354,,,
"",,,,Saman Shahwala,212230108,0,237,237,,,
306 Total,,,,,,0,1362,1362,0,3,3
307,"Government Boys Elementary School,District Jail",,,Gulshan Madina,212230201,417,0,417,2,0,2
"",,,,Sakhi Sultan Colony,212230202,477,0,477,,,
"",,,,Jinnah Town,212230203,234,0,234,,,
307 Total,,,,,,1128,0,1128,2,0,2
308,"Government Boys Elementary School,District Jail",,,Afghan Colony,212230204,189,0,189,4,0,4
"",,,,Afghan Colony,212230208,157,0,157,,,
"",,,,Jinnah Town,212230205,91,0,91,,,
"",,,,Jinnah Town,212230210,700,0,700,,,
"",,,,Green Town,212230206,242,0,242,,,
"",,,,Green Town,212230209,183,0,183,,,
"",,,,Waqas Town,212230207,395,0,395,,,
308 Total,,,,,,1957,0,1957,4,0,4
309,"Government Girls High School, DistrictJail",,,Gulshan Madina,212230201,0,382,382,0,2,2
"",,,,Sakhi Sultan Colony,212230202,0,451,451,,,
"",,,,Jinnah Town,212230203,0,234,234,,,
309 Total,,,,,,0,1067,1067,0,2,2
"",,Afghan Colony,212230204,0,184,184,,,,,
"",,Afghan Colony,212230208,0,171,171,,,,,
"",,Jinnah Town,212230205,0,282,282,,,,,
"",,,,Green Town,212230206,0,134,134,,,
"",,,,Green Town,212230209,0,236,236,,,
"",,,,Waqas Town,212230207,0,372,372,,,
310 Total,,,,,,0,1737,1737,0,4,4
311,"Office of the SDO (WAPDA), NawanSheher, Sub-Div: Justice Hameed Colony",,,Faiz Abad,212230301,543,0,543,3,0,3
"",,,,Gulshan Karim,212230302,445,0,445,,,
"",,,,Justice Hameed Colony,212230303,315,0,315,,,
"",,,,Justice Hameed Colony,212230308,234,0,234,,,
311 Total,,,,,,1537,0,1537,3,0,3
312,"Office of the SDO (Provincial Works) Sub-Division Nishtar Colony",,,Gulstan Colony,212230304,451,0,451,3,0,3
"",,,,Nishtar Colony,212230305,448,0,448,,,
"",,,,Nishtar Colony,212230306,127,0,127,,,
"",,,,Odd Colony,212230307,289,0,289,,,
"",,,,Odd Colony,212230309,329,0,329,,,
312 Total,,,,,,1644,0,1644,3,0,3
313,"Sanat Zar Social Welfare, MDA Chowk",,,Faiz Abad,212230301,0,521,521,0,3,3
"",,,,Gulshan Karim,212230302,0,456,456,,,
"",,,,Justice Hameed Colony,212230303,0,283,283,,,
"",,,,Justice Hameed Colony,212230308,0,235,235,,,
313 Total,,,,,,0,1495,1495,0,3,3
314,"Government Boys Primary School,Nishter Colony",,,Gulstan Colony,212230304,0,430,430,0,3,3
"",,,,Nishtar Colony,212230305,0,408,408,,,
"",,,,Nishtar Colony,212230306,0,133,133,,,
"",,,,Odd Colony,212230307,0,429,429,,,
"",,,,Odd Colony,212230309,0,122,122,,,
314 Total,,,,,,0,1522,1522,0,3,3
315,"Office of the TMA, Sher Shah Town, MDARoad",,,Tariq Abad,212230401,443,0,443,3,0,3
"",,,,Tariq Abad,212230402,505,0,505,,,
"",,,,Tariq Abad,212230403,423,0,423,,,
"",,,,Tariq Abad,212230404,311,0,311,,,
315 Total,,,,,,1682,0,1682,3,0,3
316,"Office of the TMA, Sher Shah Town, MDARoad",,,Shahid Colony,212230405,302,0,302,3,0,3
"",,,,Odd Colony,212230406,741,0,741,,,
"",,,,Al-Rahim Colony,212230407,366,0,366,,,
316 Total,,,,,,1409,0,1409,3,0,3
317,"Office of the TMA, Bosan Town, MDARoad",,,Tariq Abad,212230401,0,459,459,0,3,3
"",,,,Tariq Abad,212230402,0,487,487,,,
"",,,,Tariq Abad,212230403,0,371,371,,,
"",,,,Tariq Abad,212230404,0,265,265,,,
317 Total,,,,,,0,1582,1582,0,3,3
318,"Office of the TMA, Bosan Town, MDARoad",,,Shahid Colony,212230405,0,284,284,0,3,3
"",,,,Odd Colony,212230406,0,661,661,,,
"",,,,Al-Rahim Colony,212230407,0,369,369,,,
318 Total,,,,,,0,1314,1314,0,3,3
319,"Office of the Chief Engineer Canal, OldBahawalpur Road",,,Dhup Sari,212230501,686,0,686,2,0,2
"",,,,Shadman Colony,212230502,216,0,216,,,
319 Total,,,,,,902,0,902,2,0,2
"",,Altaf Town,212230503,314,0,314,,,,,
"",,,,Altaf Town,212230505,118,0,118,,,
320 Total,,,,,,878,0,878,2,0,2
321,"Office of the S.E Canal, Old BahawalpurRoad",,,Dhup Sari,212230501,0,603,603,0,2,2
"",,,,Shadman Colony,212230502,0,199,199,,,
321 Total,,,,,,0,802,802,0,2,2
322,"Office of the S.E Canal, Old BahawalpurRoad",,,Altaf Town,212230503,0,294,294,0,2,2
"",,,,Altaf Town,212230504,0,414,414,,,
"",,,,Altaf Town,212230505,0,107,107,,,
322 Total,,,,,,0,815,815,0,2,2
323,"Government Islamia High School, DoulatGate",,,Ashiyana,212240101,766,0,766,3,0,3
"",,,,Kamangran Wali,212240102,341,0,341,,,
"",,,,Saag Vehra,212240103,355,0,355,,,
323 Total,,,,,,1462,0,1462,3,0,3
324,"Government Islamia High School, DoulatGate",,,Saag Vehra,212240104,345,0,345,2,0,2
"",,,,Kamangran,212240105,294,0,294,,,
"",,,,Moh.Sheikhan,212240106,141,0,141,,,
"",,,,Kamangran,212240107,417,0,417,,,
324 Total,,,,,,1197,0,1197,2,0,2
325,"Government Iqbal Girls High School,Hussain Agahi",,,Ashiyana,212240101,0,634,634,0,2,2
"",,,,Kamangran Wali,212240102,0,291,291,,,
"",,,,Saag Vehra,212240103,0,313,313,,,
325 Total,,,,,,0,1238,1238,0,2,2
326,"Government Iqbal Girls High School,Hussain Agahi",,,Saag Vehra,212240104,0,298,298,0,2,2
"",,,,Kamangran,212240105,0,228,228,,,
"",,,,Moh.Sheikhan,212240106,0,120,120,,,
"",,,,Kamangran,212240107,0,336,336,,,
326 Total,,,,,,0,982,982,0,2,2
327,"Government Islamia High School, DoulatGate",,,Saag Vehra,212240201,610,0,610,4,0,4
"",,,,Kamangran,212240202,211,0,211,,,
"",,,,Kamangran,212240203,492,0,492,,,
"",,,,Churi Sarai,212240204,289,0,289,,,
"",,,,Darbar Ghazi Ramzan,212240205,223,0,223,,,
327 Total,,,,,,1825,0,1825,4,0,4
328,"Government Islamia Girls High School,Doulat Gate",,,Saag Vehra,212240201,0,527,527,0,3,3
"",,,,Kamangran,212240202,0,190,190,,,
"",,,,Kamangran,212240203,0,381,381,,,
"",,,,Churi Sarai,212240204,0,239,239,,,
"",,,,Darbar Ghazi Ramzan,212240205,0,179,179,,,
328 Total,,,,,,0,1516,1516,0,3,3
329,"Government Boys Islamia Girls HighSchool, Doulat Gate",,,Moh.Qazian,212240301,383,0,383,4,0,4
"",,,,Mohri Bhutta,212240302,326,0,326,,,
"",,,,Moh. Qazian,212240303,590,0,590,,,
"",,,,Gao Shala,212240304,561,0,561,,,
"",,,,Gali Patran wali,212240305,166,0,166,,,
329 Total,,,,,,2026,0,2026,4,0,4
330,"Government Boys Islamia Girls HighSchool, Doulat Gate (Cycle Stand Portion)",,,Moh.Qazian,212240301,0,309,309,0,3,3
"",,,,Mohri Bhutta,212240302,0,275,275,,,
"",,,,Moh. Qazian,212240303,0,548,548,,,
"",,,,Gao Shala,212240304,0,440,440,,,
"",,,,Gali Patran wali,212240305,0,112,112,,,
330 Total,,,,,,0,1684,1684,0,3,3
"",,Gali Patran wali,212240401,390,0,390,,,,,
"",,,,Gurr Mandi,212240403,305,0,305,,,
331 Total,,,,,,1059,0,1059,2,0,2
332,"Government Girls Primary School, ChowkBazar, Gurr Mandi",,,Moh.Kumharan,212240404,394,0,394,3,0,3
"",,,,Moh.Kumharan,212240408,292,0,292,,,
"",,,,Kamangran,212240405,137,0,137,,,
"",,,,Thall Shah Waris,212240406,406,0,406,,,
"",,,,Gali Tumbaku wali,212240407,169,0,169,,,
332 Total,,,,,,1398,0,1398,3,0,3
333,"Government MC Primary School,Shahdana Shaheed",,,Gali Patran wali,212240401,0,333,333,0,2,2
"",,,,Churi Sarai,212240402,0,276,276,,,
"",,,,Gurr Mandi,212240403,0,227,227,,,
333 Total,,,,,,0,836,836,0,2,2
334,"Government MC Primary School,Shahdana Shaheed",,,Moh.Kumharan,212240404,0,365,365,0,2,2
"",,,,Moh.Kumharan,212240408,0,202,202,,,
"",,,,Kamangran,212240405,0,96,96,,,
"",,,,Thall Shah Waris,212240406,0,309,309,,,
"",,,,Gali Tumbaku wali,212240407,0,151,151,,,
334 Total,,,,,,0,1123,1123,0,2,2
335,"Government Islamia High School (PrimaryPortion), Haram Gate",,,Sangal Vehra,212240501,520,0,520,4,0,4
"",,,,Moh.Qazi Jalal,212240502,311,0,311,,,
"",,,,Salamat Rai,212240503,179,0,179,,,
"",,,,Moh.Qazian,212240504,745,0,745,,,
335 Total,,,,,,1755,0,1755,4,0,4
336,"Government Girls Primary School,Sanghar Vehra",,,Sangal Vehra,212240501,0,463,463,0,3,3
"",,,,Moh.Qazi Jalal,212240502,0,273,273,,,
"",,,,Salamat Rai,212240503,0,167,167,,,
"",,,,Moh.Qazian,212240504,0,614,614,,,
336 Total,,,,,,0,1517,1517,0,3,3
337,"Government Islamia High School (PrimaryPortion), Haram Gate",,,Moh. Gillani,212240601,236,0,236,2,0,2
"",,,,Moh.Tillanwala,212240602,353,0,353,,,
"",,,,Gali Boha Butt,212240603,279,0,279,,,
"",,,,Sakhi Turab,212240604,132,0,132,,,
"",,,,Chowk Kale Mandi,212240605,44,0,44,,,
337 Total,,,,,,1044,0,1044,2,0,2
338,"Government Primary School, SangarVehra",,,Moh. Gillani,212240601,0,203,203,0,2,2
"",,,,Moh.Tillanwala,212240602,0,265,265,,,
"",,,,Gali Boha Butt,212240603,0,197,197,,,
"",,,,Sakhi Turab,212240604,0,130,130,,,
"",,,,Chowk Kale Mandi,212240605,0,34,34,,,
338 Total,,,,,,0,829,829,0,2,2
339,"Government Pakistan High School,Hussain Agahi",,,Sarai Jamna Das,212250101,338,0,338,2,0,2
"",,,,Kup Bazar,212250102,357,0,357,,,
"",,,,Moh Bhartian,212250103,283,0,283,,,
339 Total,,,,,,978,0,978,2,0,2
340,"Government Pakistan High School,Hussain Agahi",,,Andron Lohari Gate,212250104,695,0,695,2,0,2
"",,,,Dak Khana Wali Gali,212250105,358,0,358,,,
340 Total,,,,,,1053,0,1053,2,0,2
341,"Government Girls Iqbal High School,Hussain Agahi",,,Sarai Jamna Das,212250101,0,276,276,0,2,2
"",,,,Kup Bazar,212250102,0,273,273,,,
"",,,,Moh Bhartian,212250103,0,199,199,,,
341 Total,,,,,,0,748,748,0,2,2
"",,Andron Lohari Gate,212250104,0,580,580,,,,,
342 Total,,,,,,0,870,870,0,2,2
343,"Government Pakistan High School,Hussain Agahi",,,Mandar Gopal,212250201,330,0,330,2,0,2
"",,,,Moh.Bhartian,212250202,490,0,490,,,
343 Total,,,,,,820,0,820,2,0,2
344,"Government Pakistan High School,Hussain Agahi",,,Hannu Ka Chhaja,212250203,722,0,722,3,0,3
"",,,,Moh. Gandhi,212250204,422,0,422,,,
"",,,,Moh. Gopi,212250205,361,0,361,,,
344 Total,,,,,,1505,0,1505,3,0,3
345,"Government Girls Iqbal High School,Hussain Agahi (Higher Secondary Portion)",,,Mandar Gopal,212250201,0,239,239,0,1,1
"",,,,Moh.Bhartian,212250202,0,391,391,,,
345 Total,,,,,,0,630,630,0,1,1
346,"Govt. Girls Primary School, Shah GardezMohalla, Tahli Wala",,,Hannu Ka Chhaja,212250203,0,531,531,0,2,2
"",,,,Moh. Gandhi,212250204,0,312,312,,,
"",,,,Moh. Gopi,212250205,0,260,260,,,
346 Total,,,,,,0,1103,1103,0,2,2
347,"Government Girls High School, KabootarMandi",,,Kabutar Mandi,212250301,233,0,233,3,0,3
"",,,,Kale Mandi,212250302,276,0,276,,,
"",,,,Kabutar Mandi,212250303,681,0,681,,,
"",,,,Moh Noori,212250304,257,0,257,,,
347 Total,,,,,,1447,0,1447,3,0,3
348,"Government Girls High School, KabootarMandi",,,Wadda Vehra,212250305,436,0,436,3,0,3
