Sr. No,No. and name of polling Station,In case of rural areas,In case of urban areas,"Serial No. ofvoterson theelectoral roll incase electoralarea isbifurcated","Number of voters assigned topolling station","Number of pollingbooths",,,,,,
Total,,,,,,,0,824,824,0,2,2
38,"Govt Girls Middle  School, Railway Station Shahnal(Comb) (P)",Miranpur,217021303,,,,475,330,805,2,2,4
38,,Miranpur,217021304,,,,447,320,767,,,
Total,,,,,,,922,650,1572,2,2,4
39,"Govt Girls Primary School, Ram Kali (Comb) (P)",Miranpur,217021305,,,,619,459,1078,2,1,3
40,"Govt.Girls Primary  School Youns wala / Hussain walaPart-I (Comb) (P)",Kaloo Wala,217021401,,,,872,726,1598,2,2,4
Total,,,,,,,872,726,1598,2,2,4
41,"Govt.Girls Primary  School Youns wala / Hussain walaPart-II (Comb) (P)",Kaloo Wala,217021402,,,,468,366,834,1,1,2
Total,,,,,,,468,366,834,1,1,2
42,"Govt.Middle School, Kaloo Wala (Comb) (P)",Kaloo Wala,217021403,,,,425,292,717,1,1,2
Total,,,,,,,425,292,717,1,1,2
43,"Govt Boys Primary School,Abdullah pur at Summra(Comb) (P)",Summra,217020901,,,,551,404,955,1,1,2
Total,,,,,,,551,404,955,1,1,2
44,"Govt Girls High School,Abdullah pur (Comb) (P)",Summra,217020902,,,,777,613,1390,2,2,4
44,,Summra,217020903,,,,,,0,,,
Total,,,,,,,777,613,1390,2,2,4
45,"Shaheen Higher Secondary School, Adda Parmit 5Marla Scheme (Male) (T) (Private)",Summra,217020904,,,,1053,0,1053,3,0,3
45,,Summra,217020905,,,,,,0,,,
45,,Summra,217020906,,,,144,0,144,,,
Total,,,,,,,1197,0,1197,3,0,3
46,"Govt. Girls Primary School, Ada Parmit 5MarlaScheme A(Female)(P)",Summra,217020904,,,,0,877,877,0,2,2
46,,Summra,217020905,,,,,,0,,,
46,,Summra,217020906,,,,0,117,117,,,
Total,,,,,,,0,994,994,0,2,2
47,Basic Health Unit Dhalai wala (Comb) (P),Summra,217020910,,,,742,620,1362,2,2,4
47,,Summra,217020911,,,,,,0,,,
Total,,,,,,,742,620,1362,2,2,4
48,"Govt Boys Primary School, Pipli wala (Comb) (P)",Summra,217020907,,,,939,775,1714,2,2,4
48,,Summra,217020908,,,,,,0,,,
48,,Summra,217020909,,,,,,0,,,
Total,,,,,,,939,775,1714,2,2,4
49,"Govt Girls Primary School, Adda parmit/Jhok Wala Part-I (Male) (P)",Summra,217020912,,,,1398,0,1398,3,0,3
49,,Summra,217020913,,,,,,0,,,
Total,,,,,,,1398,0,1398,3,0,3
50,"Govt Girls Primary School, Adda parmit/Jhok Wala Part-II (Female)(P)",Summra,217020912,,,,0,1095,1095,0,2,2
50,,Summra,217020913,,,,,,0,,,
Total,,,,,,,0,1095,1095,0,2,2
51,"Govt Boys  Primary School, Jhok wala (Comb) (P)",Summra,217020914,,,,824,713,1537,2,2,4
51,,Summra,217020915,,,,,,0,,,
Total,,,,,,,824,713,1537,2,2,4
Total,,,,,,,614,523,1137,2,1,3
53,Govt Primary School Basti sardar wali (Comb) (P),Kondi,217021102,,,,465,403,868,1,1,2
53,,Kondi,217021103,,,,78,71,149,,,
Total,,,,,,,543,474,1017,1,1,2
54,"Govt Girls Primary School, Kundi wanjaran (Comb) (P)",Kondi,217021104,,,,227,199,426,1,1,2
54,,Kondi,217021105,,,,179,123,302,,,
Total,,,,,,,406,322,728,1,1,2
55,"Govt Boys High School, Kundi kotania wala (Comb) (P)",Kondi,217021106,,,,704,610,1314,2,2,4
Total,,,,,,,704,610,1314,2,2,4
56,"Govt Boys High School, Kundi kotania wala (Comb) (P)",Kondi,217021107,,,,562,430,992,2,1,3
56,,Kondi,217021108,,,,,,0,,,
Total,,,,,,,562,430,992,2,1,3
57,"Govt Boys Primary School, Hassan abad Part-I (Male)(P)",Kondi,217021109,,,,1371,0,1371,3,0,3
57,,Kondi,217021110,,,,,,0,,,
57,,Kondi,217021111,,,,,,0,,,
Total,,,,,,,1371,0,1371,3,0,3
58,"Govt Boys Primary School, Hassan abad Part-II(Female) (P)",Kondi,217021109,,,,0,1084,1084,0,2,2
58,,Kondi,217021110,,,,,,0,,,
58,,Kondi,217021111,,,,,,0,,,
Total,,,,,,,0,1084,1084,0,2,2
59,"Govt Boys Primary School, Bahadar Taheem (Male) (P)",Lalay Wala,217021003,,,,640,0,640,4,0,4
59,,Lalay Wala,217021004,,,,598,0,598,,,
59,,Lalay Wala,217021005,,,,255,0,255,,,
Total,,,,,,,1493,0,1493,4,0,4
60,"Govt Girls Primary School, Bahadar Taheem (Female)(P)",Lalay Wala,217021003,,,,0,555,555,0,3,3
60,,Lalay Wala,217021004,,,,0,467,467,,,
60,,Lalay Wala,217021005,,,,0,204,204,,,
Total,,,,,,,0,1226,1226,0,3,3
61,Basic Health Centre Matrein (Male)(P),Matrein,217021001,,,,630,0,630,2,0,2
61,,Matrein,217021002,,,,452,0,452,,,
Total,,,,,,,1082,0,1082,2,0,2
62,"Govt Boys Middle School, Matrian (Female )(P)",Matrein,217021001,,,,0,486,486,0,2,2
62,,Matrein,217021002,,,,0,366,366,,,
Total,,,,,,,0,852,852,0,2,2
63,"Govt Boys Middle School, Fazal Wala (Comb) (P)",Fazal Wala,217021006,,,,497,424,921,2,2,4
63,,Fazal Wala,217021007,,,,395,263,658,,,
Total,,,,,,,1094,836,1930,2,2,4
64,"Govt Boys Elementary School, Deepay Wala (Comb)(P)",Deepay Wala,217020601,,,,388,278,666,2,2,4
64,,Deepay Wala,217020602,,,,653,551,1204,,,
64,,Deepay Wala,217020603,,,,,,0,,,
Total,,,,,,,1041,829,1870,2,2,4
65,"Govt Boys Primary School, Dhoray Wala (Comb) (P)",Dhoray Wala,217020301,,,,647,538,1185,2,1,3
Total,,,,,,,647,538,1185,2,1,3
66,"Govt Girls Primary School, Dhoray Wala (Comb) (P)",Dhoray Wala,217020302,,,,595,398,993,1,1,2
Total,,,,,,,595,398,993,1,1,2
67,"Govt Girls Middle School, Kamal pur Jatial (Comb) (P)",Kamal pur Jatial,217020401,,,,387,249,636,2,1,3
67,,Kamal pur Jatial,217020402,,,,302,194,496,,,
Total,,,,,,,689,443,1132,2,1,3
68,"Govt. Boys Elementary School, Kamal pur Jatial NearBasti Sonhary wala (Comb)(P)",Kamal pur Jatial,217020403,,,,732,429,1161,2,2,4
68,,Kamal pur Jatial,217020404,,,,,,0,,,
68,,Kamal pur Jatial,217020405,,,,435,245,680,,,
68,,Kamal pur Jatial,217020406,,,,,,0,,,
Total,,,,,,,1167,674,1841,2,2,4
69,"Govt Boys Primary School, (Khan wala) Wahi WighaMal (Comb) (P)",Wahi Wigha Mal,217030401,,,,285,199,484,2,1,3
69,,Wahi Wigha Mal,217030402,,,,329,283,612,,,
Total,,,,,,,614,482,1096,2,1,3
70,"Govt Boys Primary School, Wahi Motan Mal (ChakLiaqat Abad) Part-I (Comb) (P)",Wahi Motan Mal,217030403,,,,439,339,778,2,1,3
70,,Wahi Motan Mal,217030405,,,,234,180,414,,,
Total,,,,,,,673,519,1192,2,1,3
71,"Govt Boys Primary School, Wahi Motan Mal (ChakLiaqat Abad) Part-II (Comb) (P)",Wahi Motan Mal,217030404,,,,465,445,910,1,1,2
Total,,,,,,,465,445,910,1,1,2
72,"Govt. Boys High School, Salsadar, Part-I (Comb) (P)",Salsadar,217030201,,,,755,619,1374,2,1,3
72,,Salsadar,217030202,,,,75,40,115,,,
Total,,,,,,,830,659,1489,2,1,3
73,"Govt.Boys High School, Salsadar, Part-II (Comb) (P)",Salsadar,217030203,,,,339,280,619,2,2,4
73,,Salsadar,217030207,,,,468,371,839,,,
Total,,,,,,,807,651,1458,2,2,4
74,"Govt Boys Middle School, Bahmni Wala Part-I (Male)(P)",Salsadar,217030204,,,,1333,0,1333,3,0,3
74,,Salsadar,217030205,,,,,,0,,,
74,,Salsadar,217030206,,,,,,0,,,
75,"Govt Boys Middle School, Bahmni Wala  Part-II(Female) (P)",Salsadar,217030204,,,,0,1223,1223,0,3,3
75,,Salsadar,217030205,,,,,,0,,,
75,,Salsadar,217030206,,,,,,0,,,
Total,,,,,,,0,1223,1223,0,3,3
76,"Govt Girls Middle School,Bahmni Wala (Comb) (P)",Salsadar,217030208,,,,895,696,1591,2,2,4
76,,Salsadar,217030209,,,,,,,,,
Total,,,,,,,895,696,1591,2,2,4
77,"Basic Health Centre, Salsadar (Comb) (P)",Salsadar,217030210,,,,492,344,836,1,1,2
77,,Salsadar,217030211,,,,,,0,,,
Total,,,,,,,492,344,836,1,1,2
78,"Govt Boys Primary School, Kath Garh (Comb) (P)",Kath Garh,217030501,,,,320,294,614,2,1,3
78,,Wahi Sikandar pur,217030506,,,,69,46,115,,,
78,,Chak Fateh Muhammad,217030507,,,,11,4,15,,,
78,,Wahi Mullan Fazal,217030508,,,,230,181,411,,,
Total,,,,,,,630,525,1155,2,1,3
79,"Govt. Boys Primary School, Mianpur Mehtam ( Male )(P)",Mianpur Mehtam,217030502,,,,568,0,568,3,0,3
79,,Mianpur Mehtam,217030503,,,,908,0,908,,,
79,,Mianpur Mehtam,217030504,,,,,,0,,,
Total,,,,,,,1476,0,1476,3,0,3
80,"Govt. Girls Primary School, Mianpur Mehtam (Female )(P)",Mianpur Mehtam,217030502,,,,0,502,502,0,3,3
80,,Mianpur Mehtam,217030503,,,,0,803,803,,,
80,,Mianpur Mehtam,217030504,,,,,,0,,,
Total,,,,,,,0,1305,1305,0,3,3
81,"Govt Boys High School, 49/M (Comb) (P)",Wahi Naich Wali,217030505,,,,797,682,1479,2,2,4
Total,,,,,,,797,682,1479,2,2,4
82,"Govt. Boys Primary School, Wahi Ghousul Mulk(Comb) (P)",Wahi Ghousul Mulk,217030602,,,,545,492,1037,1,1,2
Total,,,,,,,545,492,1037,1,1,2
83,"Govt Boys Elementary School, Wahi Salamat Rai Part-I(Comb) (P)",Wahi Salamat Rai,217030603,,,,369,289,658,1,1,2
Total,,,,,,,369,289,658,1,1,2
84,"Govt Boys Elementary School, Wahi Salamat Rai Part-II (Comb) (P)",Wahi Salamat Rai,217030604,,,,773,589,1362,2,2,4
84,,Wahi Salamat Rai,217030605,,,,,,0,,,
Total,,,,,,,773,589,1362,2,2,4
85,"Govt Girls Primary School, Chand wala Wahi FatuChanner (Comb) (P)",Thalli Wah,217030601,,,,191,163,354,2,2,4
85,,Wahi Fatu Channer,217030606,,,,353,284,637,,,
85,,Wahi Fatu Channer,217030607,,,,466,422,888,,,
86,"Govt Girls Elementary School, Millan Hans (Comb) (P)",Wahi Hurian Wali,217030701,,,,334,288,622,1,1,2
86,,Wahi Hurian Wali,217030702,,,,32,14,46,,,
86,,Wahi Ratna Wali,217030704,,,,30,27,57,,,
86,,Chak No.57/M,217030711,,,,114,98,212,,,
86,,Chak No.58/M,217030712,,,,25,23,48,,,
Total,,,,,,,535,450,985,1,1,2
87,"Govt Massjid Maktab School,Millan Hans (Comb) (P)",Millan Hans,217030708,,,,165,126,291,1,1,2
87,,Millan Hans,217030709,,,,192,165,357,,,
87,,Millan Hans,217030710,,,,58,45,103,,,
87,,Wahi Dewan wali,217030703,,,,141,123,264,,,
Total,,,,,,,556,459,1015,1,1,2
88,"Govt Boys Primary School, Sheer pur (Comb) (P)",Sheer pur,217030705,,,,269,185,454,1,1,2
Total,,,,,,,269,185,454,1,1,2
89,"Govt Girls Primary School, Chowk Farooq Azam BachoMoor (Comb)(P)",Sheer pur,217030706,,,,692,556,1248,2,1,3
89,,Sheer pur,217030707,,,,,,0,,,
Total,,,,,,,692,556,1248,2,1,3
90,"Govt.Boys High School, Wahi Ali Arain (Comb) (P)",Wahi Ali Arain,217030802,,,,314,281,595,1,1,2
90,,Chak No.59/M,217030803,,,,78,83,161,,,
Total,,,,,,,392,364,756,1,1,2
91,"Govt Girls Primary School, Wahi Channi Khan BastiChenna (Comb)(P)",Wahi Channi Khan,217030804,,,,376,376,752,2,2,4
91,,Wahi Qazi Abul Khair,217030801,,,,399,364,763,,,
Total,,,,,,,775,740,1515,2,2,4
92,"Govt. Boys Middle School, Band Ali pur Part-I(Comb)(P)",Band Ali pur,217030805,,,,461,469,930,1,1,2
Total,,,,,,,461,469,930,1,1,2
93,"Govt.Boys Middle School, Band Ali pur Part-II (Comb)(P)",Band Ali pur,217030806,,,,680,615,1295,2,2,4
Total,,,,,,,680,615,1295,2,2,4
94,"Govt Model Elementary School, Sadullah Pur MiddlePortion (Male) (P)",Sadullah pur,217030904,,,,501,0,501,4,0,4
94,,Sadullah pur,217030905,,,,633,0,633,,,
94,,Wahi Wariam,217030906,,,,502,0,502,,,
Total,,,,,,,1636,0,1636,4,0,4
95,"Govt Model Elementary School, Sadullah Pur PrimaryPortion (Female) (P)",Sadullah pur,217030904,,,,0,429,429,0,3,3
95,,Sadullah pur,217030905,,,,0,569,569,,,
95,,Wahi Wariam,217030906,,,,0,358,358,,,
Total,,,,,,,0,1356,1356,0,3,3
96,"Govt Boys Primary School, Mossay wala Part-I (Male)(P)",Sadullah pur,217030901,,,,467,0,467,4,0,4
96,,Sadullah pur,217030903,,,,520,0,520,,,
Total,,,,,,,1515,0,1515,4,0,4
97,"Govt Boys Primary School, Mossay wala Part-II(Female) (P)",Sadullah pur,217030901,,,,0,420,420,0,3,3
97,,Sadullah pur,217030902,,,,0,474,474,,,
97,,Sadullah pur,217030903,,,,0,427,427,,,
Total,,,,,,,0,1321,1321,0,3,3
98,"Govt Girls Primary Madrasa Maktab Wahi ImamBakhsh (Comb) (P)",Wahi Imam Bakhsh,217031001,,,,643,532,1175,2,1,3
Total,,,,,,,643,532,1175,2,1,3
99,"Govt Boys Middle School, Amray wala, Part-I (Comb)(P)",Chak Godha,217031004,,,,534,373,907,1,1,2
99,,Chak Godha,217031005,,,,,,0,,,
Total,,,,,,,534,373,907,1,1,2
100,"Govt Boys Middle School, Amray wala, Part-II (Comb)(P)",Wahi Daud Khan,217031006,,,,329,293,622,2,1,3
100,,Wahi Daud Khan,217031007,,,,354,253,607,,,
Total,,,,,,,683,546,1229,2,1,3
101,"Govt Boys Primary School, Bumb wala Part-I (Comb)(P)",Kot Pir Sadat,217031002,,,,571,489,1060,1,1,2
Total,,,,,,,571,489,1060,1,1,2
102,"Govt Boys Primary School, Bumb wala Part-II (Comb)(P)",Kot Pir Sadat,217031003,,,,746,635,1381,2,2,4
Total,,,,,,,746,635,1381,2,2,4
103,"Govt Girls Primary School, Kala Wari (Comb) (P)",Kala Wairi,217030125,,,,380,304,684,1,1,2
Total,,,,,,,380,304,684,1,1,2
104,"Govt. Boys Middle School, Basti Rahuja (Comb) (P)",Gogran,217030101,,,,478,383,861,2,2,4
104,,Gogran,217030102,,,,322,263,585,,,
104,,Gogran,217030103,,,,243,202,445,,,
Total,,,,,,,1043,848,1891,2,2,4
105,"Govt. Boys High School, Gogran Part-I (Comb) (P)",Gogran,217030104,,,,504,392,896,2,2,4
105,,Gogran,217030105,,,,338,289,627,,,
105,,Gogran,217030126,,,,,,0,,,
105,,Gogran,217030108,,,,70,39,109,,,
105,,Gogran,217030109,,,,204,140,344,,,
Total,,,,,,,1116,860,1976,2,2,4
106,"Govt. Boys Middle School, Mehar Abad Part-I (Male) (P)",Gogran,217030106,,,,916,0,916,3,0,3
106,,Gogran,217030107,,,,419,0,419,,,
Total,,,,,,,1335,0,1335,3,0,3
107,"Govt. Boys Middle School, Mehar Abad  Part-II(Female) (P)",Gogran,217030106,,,,0,802,802,0,3,3
107,,Gogran,217030107,,,,0,327,327,,,
108,"Govt. Girls High School, Gogran Part-I (Comb) (P)",Gogran,217030110,,,,302,264,566,2,2,4
108,,Gogran,217030111,,,,115,103,218,,,
108,,Gogran,217030112,,,,110,70,180,,,
108,,Kot Haji,217030124,,,,263,221,484,,,
Total,,,,,,,790,658,1448,2,2,4
109,,Gogran,217030113,,,,225,181,406,2,2,4
109,"Govt. Girls High School, Gogran Part-II (Comb) (P)",Gogran,217030114,,,,109,91,200,,,
109,,Gogran,217030127,,,,,,0,,,
109,,Gogran,217030128,,,,,,0,,,
109,,Gogran,217030115,,,,506,436,942,,,
Total,,,,,,,840,708,1548,2,2,4
110,"Govt.Boys High School, Gogran Part-II (Comb) (P)",Gogran,217030116,,,,225,171,396,2,2,4
110,,Gogran,217030117,,,,279,268,547,,,
110,,Gogran,217030118,,,,219,179,398,,,
Total,,,,,,,723,618,1341,2,2,4
111,"Govt.Boys High School, Gogran Part-III (Comb) (P)",Gogran,217030119,,,,235,189,424,2,1,3
111,,Gogran,217030120,,,,356,317,673,,,
Total,,,,,,,591,506,1097,2,1,3
112,"Rural Health Center, Gogran (Comb) (P)",Gogran,217030121,,,,206,162,368,2,2,4
112,,Gogran,217030122,,,,335,255,590,,,
112,,Gogran,217030123,,,,278,228,506,,,
Total,,,,,,,819,645,1464,2,2,4
113,"Govt Boys Primary School ,Looni (Male)(P)",Shahnal,217030301,,,,481,0,481,4,0,4
113,,Shahnal,217030302,,,,477,0,477,,,
113,,Shahnal,217030303,,,,676,0,676,,,
113,,Shahnal,217030304,,,,350,0,350,,,
Total,,,,,,,1984,0,1984,4,0,4
114,"Govt.Girls Primary School,Looni Shahnal ( Female ) (P)",Shahnal,217030301,,,,0,393,393,0,3,3
114,,Shahnal,217030302,,,,0,434,434,,,
114,,Shahnal,217030303,,,,0,588,588,,,
114,,Shahnal,217030304,,,,0,325,325,,,
Total,,,,,,,0,1740,1740,0,3,3
115,"Basic Health Unit, Chak 12/MPR (Comb) (P)",Chak No.11/MPR,217050601,,,,660,515,1175,2,2,4
115,,Chak No.12/MPR,217050602,,,,82,45,127,,,
115,,Chak No.13/MPR,217050603,,,,83,30,113,,,
115,,Chak No.14/MPR,217050604,,,,0,0,0,,,
115,,Chak No.16/MPR,217050605,,,,3,2,5,,,
115,,Chak No.21/MPR,217050610,,,,182,135,317,,,
Total,,,,,,,1010,727,1737,2,2,4
116,,Chak No.20/MPR,217050609,,,,31,24,55,,,
116,,Chak No.22/MPR,217050611,,,,0,0,0,,,
116,,Chak No.23/MPR,217050612,,,,38,27,65,,,
Total,,,,,,,548,422,970,1,1,2
117,"Govt Girls Primary School,Chak 18/MPR (Comb) (P)",Chak No.18/MPR,217050607,,,,284,244,528,1,1,2
117,,Chak No.19/MPR,217050608,,,,277,225,502,,,
Total,,,,,,,561,469,1030,1,1,2
118,"Govt Girls Primary School, Chak 48/M (Comb) (P)",Chak 48/M,217050614,,,,615,548,1163,2,1,3
118,,Chak No. 47/M,217050613,,,,346,332,678,,,
Total,,,,,,,961,880,1841,2,1,3
119,"Govt.Boys High School, Lahori Part-I (Comb) (P)",Lahori,217050501,,,,604,489,1093,2,1,3
Total,,,,,,,604,489,1093,2,1,3
120,"Govt.Boys High School, Lahori Part-II (Comb) (P)",Lahori,217050502,,,,566,423,989,1,1,2
120,,Lahori,217050503,,,,,,,,,
Total,,,,,,,566,423,989,1,1,2
121,"Govt. Elementary School, Lahori (Comb) (P)",Lahori,217050504,,,,534,466,1000,2,2,4
121,,Lahori,217050505,,,,352,315,667,,,
Total,,,,,,,886,781,1667,2,2,4
122,"Govt Girls Primary School, Basti Aheer (Comb) (P)",Basti Aheer,217050506,,,,657,565,1222,2,1,3
122,,Basti Aheer,217050507,,,,,,,,,
Total,,,,,,,657,565,1222,2,1,3
123,"Govt. Boys High School, Galay wal  at Sagwan  Part-I(Comb) (P)",Sagwan,217050201,,,,201,161,362,2,2,4
123,,Sagwan,217050202,,,,64,49,113,,,
123,,Sagwan,217050203,,,,226,210,436,,,
123,,Sagwan,217050204,,,,436,396,832,,,
Total,,,,,,,927,816,1743,2,2,4
124,"Union Council Office, Sagwan (Comb) (P)",Sagwan,217050205,,,,320,269,589,2,2,4
124,,Sagwan,217050210,,,,312,237,549,,,
124,,Sagwan,217050211,,,,297,258,555,,,
124,,Sagwan,217050212,,,,50,45,95,,,
Total,,,,,,,979,809,1788,2,2,4
125,"Basic Health Unit, Galay wal at Sagwan (Comb) (P)",Sagwan,217050206,,,,763,657,1420,2,2,4
125,,Sagwan,217050207,,,,,,,,,
Total,,,,,,,763,657,1420,2,2,4
126,"Govt.Boys High School, Galay wal at Sagwan Part-II(Comb) (P)",Sagwan,217050208,,,,502,481,983,2,2,4
126,,Sagwan,217050209,,,,155,144,299,,,
Total,,,,,,,657,625,1282,2,2,4
127,"Govt Boys Primary School ,Siddha (Comb) (P)",Sidha,217050213,,,,167,110,277,2,1,3
Total,,,,,,,601,494,1095,2,1,3
128,"Govt.Girls High School, Galay wal Part-I (Comb) (P)",Sidha,217050215,,,,100,80,180,1,1,2
128,,Sidha,217050216,,,,90,67,157,,,
128,,Sidha,217050217,,,,407,364,771,,,
Total,,,,,,,597,511,1108,1,1,2
129,"Govt.Girls High  School, Galay wal Part-II (Comb) (P)",Sidha,217050218,,,,533,443,976,2,2,4
129,,Sidha,217050219,,,,117,63,180,,,
129,,Sidha,217050220,,,,139,96,235,,,
Total,,,,,,,789,602,1391,2,2,4
130,"Govt Boys Primary School ,Manglay wala at Sidha(Comb) (P)",Sidha,217050221,,,,586,504,1090,1,1,2
Total,,,,,,,586,504,1090,1,1,2
131,"Govt Girls Primary School,Khan Gahi at Galandra(Comb) (P)",Galandra,217050222,,,,326,240,566,2,2,4
131,,Galandra,217050223,,,,604,549,1153,,,
Total,,,,,,,930,789,1719,2,2,4
132,"Govt Girls Primary School,Chak No.52/M (Comb) (P)",Chak No.51/M,217050304,,,,477,359,836,2,2,4
132,,Chak No.52/M,217050305,,,,575,519,1094,,,
132,,Chak No.52/M,217050306,,,,,,,,,
Total,,,,,,,1052,878,1930,2,2,4
133,"Govt Boys Elementary School, Chak No.50/M (Comb)(P)",Chak No.49/M,217050301,,,,207,143,350,2,2,4
133,,Chak No.50/M,217050302,,,,478,454,932,,,
133,,Chak No.50/M,217050303,,,,169,130,299,,,
Total,,,,,,,854,727,1581,2,2,4
134,"Govt.Boys Higher Secondary School,Chak No.53/MPart-I (Comb) (P)",Chak No.53/M,217050401,,,,645,558,1203,2,1,3
134,,Chak No.53/M,217050402,,,,,,,,,
Total,,,,,,,645,558,1203,2,1,3
135,"Govt.Boys Higher Secondary  School,Chak No.53/MPart-II (Comb) (P)",Chak No.53/M,217050403,,,,341,283,624,2,2,4
135,,Chak No.54/M,217050404,,,,445,373,818,,,
Total,,,,,,,786,656,1442,2,2,4
