Sr. No.,No. and Name of Polling Station,In Case of Rural Areas,In Case of Urban Areas,"S. No. of voters on the electoral roll in case electoral area is bifurcated","Number of voters assigned to polling station",Number of polling  booths,,,,,,
110 Total,,,,-,-,-,1070,0,1070,2,0,2
111,Government High School Munara,MUNARA,131020401,-,-,,0,466,466,0,2,2
"",,MUNARA,131020402,-,-,,0,681,681,,,
111 Total,,,,-,-,-,0,1147,1147,0,2,2
112,"Government Girls High SchoolMunara",MUNARA,131020403,-,-,,380,408,788,2,2,4
"",,MUNARA,131020404,-,-,,390,355,745,,,
112 Total,,,,-,-,-,770,763,1533,2,2,4
113,"Government Girls ElementarySchool Wasnal",WASNAL,131020405,-,-,,569,0,569,4,0,4
"",,WASNAL,131020406,-,-,,269,0,269,,,
"",,WASNAL,131020407,-,-,,247,0,247,,,
"",,WASNAL,131020408,-,-,,364,0,364,,,
"",,WASNAL,131020409,-,-,,175,0,175,,,
113 Total,,,,-,-,-,1624,0,1624,4,0,4
114,Government High School Wasnal,WASNAL,131020405,-,-,,0,601,601,0,4,4
WASNAL,131020406,-,-,,0,259,259,,,,,
WASNAL,131020407,-,-,,0,227,227,,,,,
WASNAL,131020408,-,-,,0,368,368,,,,,
WASNAL,131020409,-,-,,0,162,162,,,,,
115,"Government Girls ElementarySchool Nagri",SEHTI,131021007,-,-,,362,345,707,1,1,2
115 Total,,,,-,-,-,362,345,707,1,1,2
116,"Government Primary SchoolKharli",SEHTI,131021004,-,-,,116,94,210,1,1,2
"",,SEHTI,131021008,-,-,,380,372,752,,,
116 Total,,,,-,-,-,496,466,962,1,1,2
117,"Government Elementary SchoolSethi",SEHTI,131021002,-,-,,533,0,533,3,0,3
"",,SEHTI,131021003,-,-,,288,0,288,,,
"",,SEHTI,131021005,-,-,,340,0,340,,,
117 Total,,,,-,-,-,1161,0,1161,3,0,3
118,"Government Elementary SchoolSethi",SEHTI,131021002,-,-,,0,509,509,0,3,3
"",,SEHTI,131021003,-,-,,0,274,274,,,
"",,SEHTI,131021005,-,-,,0,353,353,,,
118 Total,,,,-,-,-,0,1136,1136,0,3,3
119,"Government Boys ElementarySchool Sethi",SEHTI,131021001,-,-,,712,0,712,2,0,2
"",,SEHTI,131021006,-,-,,249,0,249,,,
"",,RAKH TINYALA,131021009,-,-,,0,0,0,,,
119 Total,,,,-,-,-,961,0,961,2,0,2
120,"Government Girls ElementarySchool Sethi",SEHTI,131021001,-,-,,0,703,703,0,2,2
"",,SEHTI,131021006,-,-,,0,214,214,,,
"",,RAKH TINYALA,131021009,-,-,,0,0,0,,,
120 Total,,,,-,-,-,0,917,917,0,2,2
121,Government High School Bharpur,"BHARPUR KALAN(AAYAT MOHALLAHKHALAN)",131011001,-,-,,100,0,100,3,0,3
BHARPUR KALAN,131011002,-,-,,462,0,462,,,,,
"BHARPUR KALAN(KHALAN)",131011003,-,-,,308,0,308,,,,,
"BHARPUR KALAN(KHALAN GHARBIBHARPUR)",131011004,-,-,,452,0,452,,,,,
"BHARPUR KALAN(DHOK AWAN)",131011007,-,-,,186,0,186,,,,,
122,Government High School Bharpur,"BHARPUR KALAN(AAYAT MOHALLAHKHALAN)",131011001,-,-,,0,85,85,0,2,2
"",,BHARPUR KALAN,131011002,-,-,,0,413,413,,,
"",,"BHARPUR KALAN(KHALAN)",131011003,-,-,,0,292,292,,,
"",,"BHARPUR KALAN(KHALAN GHARBIBHARPUR)",131011004,-,-,,0,457,457,,,
"",,"BHARPUR KALAN(DHOK AWAN)",131011007,-,-,,0,114,114,,,
122 Total,,,,-,-,-,0,1361,1361,0,2,2
123,Government High School Bharpur,"BHARPUR KALAN(KHALAN)",131011005,-,-,,160,127,287,1,1,2
"",,"BHARPUR KALAN(KHALAN)",131011006,-,-,,197,167,364,,,
123 Total,,,,-,-,-,357,294,651,1,1,2
124,"Government Elementary SchoolKallu",KALLU (BHARPUR),131011008,-,-,,461,375,836,1,1,2
"",,"CHAK CHAILA(BHARPUR)",131011009,-,-,,12,5,17,,,
124 Total,,,,-,-,-,473,380,853,1,1,2
125,"Government Elementary SchoolWalana","WALANA (BHATTIGUJJAR)",131010201,-,-,,285,0,285,2,0,2
"",,"WALANA (BHATTIGUJJAR)",131010202,-,-,,521,0,521,,,
"",,BHARPUR,131010905,-,-,,277,0,277,,,
125 Total,,,,-,-,-,1083,0,1083,2,0,2
126,"Government Girls ElementarySchool Walana","WALANA (BHATTIGUJJAR)",131010201,-,-,,0,291,291,0,2,2
"",,"WALANA (BHATTIGUJJAR)",131010202,-,-,,0,502,502,,,
"",,BHARPUR,131010905,-,-,,0,276,276,,,
126 Total,,,,-,-,-,0,1069,1069,0,2,2
127,Secondary School Bhar Pur,"BHARPUR GUNG(QADEEMI IMAMBARGAH)",131010904,-,-,,134,128,262,1,1,2
127 Total,,,,-,-,-,329,300,629,1,1,2
128,"Government Girls HigherSecondary School Bhar Pur",BHARPUR GANG,131010902,-,-,,776,680,1456,2,2,4
"",,"BHARPUR GUNG(KHALAN)",131010903,-,-,,120,87,207,,,
128 Total,,,,-,-,-,896,767,1663,2,2,4
129,"Colonel Toqueer Hadeer ShahidGovernment Elementary SchoolBhatti Gujar",BHATTI GUJAR,131010203,-,-,,442,0,442,3,0,3
"",,BHATTI GUJAR,131010204,-,-,,331,0,331,,,
"",,BHATTI GUJAR,131010205,-,-,,403,0,403,,,
129 Total,,,,-,-,-,1176,0,1176,3,0,3
130,"Government Girls High SchoolBhatti Gujar",BHATTI GUJAR,131010203,-,-,,0,391,391,0,2,2
"",,BHATTI GUJAR,131010204,-,-,,0,332,332,,,
"",,BHATTI GUJAR,131010205,-,-,,0,434,434,,,
130 Total,,,,-,-,-,0,1157,1157,0,2,2
131,"Government Elementary SchoolMair","MAIRA (DHOKE FATEHPUR, MAIRA)",131010101,-,-,,254,232,486,1,1,2
"",,"MAIRA (DHOKE PEERWALIYAT, DHOKEFATEH PUR)",131010102,-,-,,294,245,539,,,
131 Total,,,,-,-,-,548,477,1025,1,1,2
132,"Government Elmentary SchoolThir Chak","THOR CHAK (LAHRITHOR CHAK)",131010103,-,-,,372,333,705,1,1,2
"",,"THOR CHAK (DHOKEQADEER PUR, DHOKEQURAISH)",131010104,-,-,,210,196,406,,,
"",,THIR CHAK RAKH,131010906,-,-,,0,0,0,,,
132 Total,,,,-,-,-,582,529,1111,1,1,2
133,"Government Primary SchoolMustafa abad(Chatwal)","CHATWAL(MUSTAFABAD)",129020304,-,-,,788,733,1521,2,2,4
133 Total,,,,-,-,-,788,733,1521,2,2,4
134 Total,,,,-,-,-,877,819,1696,2,2,4
135,Government High School Jasial,"JASIAL (MOHALLAHMADINA MASJID)",129010504,-,-,,516,479,995,1,1,2
135 Total,,,,-,-,-,516,479,995,1,1,2
136,Government High School Jasial,JASIAL,129010505,-,-,,135,141,276,2,2,4
"",,"JASIAL (SHARQIMOHALLAH NAIABADI)",129010506,-,-,,506,525,1031,,,
"",,JASIAL,129010507,-,-,,177,164,341,,,
136 Total,,,,-,-,-,818,830,1648,2,2,4
137,"Government Girls Primary SchoolGulshan Barwal",CHOKERA,129010501,-,-,,648,606,1254,2,2,4
"",,"CHOKERA (MOHALLAHTEHI)",129010502,-,-,,37,51,88,,,
137 Total,,,,-,-,-,685,657,1342,2,2,4
138,"Government Elementary SchoolTraggar",TARGARH,129020401,-,-,,737,735,1472,2,2,4
"",,TARGARH,129020402,-,-,,119,85,204,,,
"",,RAKH KOT NATIL,129020403,-,-,,0,0,0,,,
138 Total,,,,-,-,-,856,820,1676,2,2,4
139,"Government Priamry SchoolNaka Rehan",NIKA RIHAN,129020404,-,-,,668,648,1316,2,1,3
139 Total,,,,-,-,-,668,648,1316,2,1,3
140,"Government Elementary SchoolPihra Jangla",PIHRA JANGLA,129020301,-,-,,784,0,784,3,0,3
"",,PIHRA JANGLA,129020302,-,-,,429,0,429,,,
"",,PIHRA JANGLA,129020303,-,-,,192,0,192,,,
140 Total,,,,-,-,-,1405,0,1405,3,0,3
141,"Government Girls ElementarySchool Pihra Jangla",PIHRA JANGLA,129020301,-,-,,0,684,684,0,2,2
"",,PIHRA JANGLA,129020302,-,-,,0,370,370,,,
"",,PIHRA JANGLA,129020303,-,-,,0,171,171,,,
141 Total,,,,-,-,-,0,1225,1225,0,2,2
142,Government High School Tehi,"TEHI (DHOKE SULTAN,TEHI)",129020201,-,-,,579,510,1089,2,2,4
TEHI (CHOKERA),129020202,-,-,,403,349,752,,,,,
143,"Government Basic Health UnitTehi","DHOKE MARIAN(DHOKE CHAKI WALIGHARBI)",129010602,-,-,,68,48,116,2,1,3
"",,"TEHI (MOHALLAHSHARQ TEHI)",129020209,-,-,,371,354,725,,,
"",,"TEHI (MOHALLAH FAIZABAD)",129020210,-,-,,344,256,600,,,
143 Total,,,,-,-,-,783,658,1441,2,1,3
144,Union Council Office Tehi,"TEHI (MOHALLAHGHARB)",129020203,-,-,,639,0,639,3,0,3
"",,TAHI,129020204,-,-,,323,0,323,,,
"",,TEHI (MASJID JAFIZ),129020205,-,-,,338,0,338,,,
144 Total,,,,-,-,-,1300,0,1300,3,0,3
145,Union Council Office Tehi,"TEHI (MOHALLAHGHARB)",129020203,-,-,,0,530,530,0,2,2
"",,TAHI,129020204,-,-,,0,320,320,,,
"",,TEHI (MASJID JAFIZ),129020205,-,-,,0,252,252,,,
145 Total,,,,-,-,-,0,1102,1102,0,2,2
146,"Government Boys High SchoolTehi","TEHI (MOHALLAHREHMANI)",129020206,-,-,,293,0,293,3,0,3
"",,"TEHI (MOHALLAHHUJAM)",129020207,-,-,,286,0,286,,,
"",,"TEHI (MOHALLAHGHARB)",129020208,-,-,,492,0,492,,,
"",,"TEHI (MARKAZIMASJID)",129020211,-,-,,201,0,201,,,
146 Total,,,,-,-,-,1272,0,1272,3,0,3
147,"Government Boys High SchoolTehi","TEHI (MOHALLAHREHMANI)",129020206,-,-,,0,298,298,0,2,2
"TEHI (MOHALLAHHUJAM)",129020207,-,-,,0,268,268,,,,,
"TEHI (MOHALLAHGHARB)",129020208,-,-,,0,496,496,,,,,
"TEHI (MARKAZIMASJID)",129020211,-,-,,0,170,170,,,,,
148,"Government Girls ElementarySchool Dudial","DODIAL (MOHALLAHJANWAL)",129010301,-,-,,922,836,1758,2,2,4
148 Total,,,,-,-,-,922,836,1758,2,2,4
149,Basic Health Unit Dudial,"DODIAL (MOHALLAHJANUBI)",129010305,-,-,,526,467,993,1,1,2
149 Total,,,,-,-,-,526,467,993,1,1,2
150,"Government Girls ElementarySchool Dudial (Primary Portion)","DODIAL (MOHALLAHMIAL)",129010302,-,-,,449,430,879,1,1,2
150 Total,,,,-,-,-,449,430,879,1,1,2
151,Basic Health Unit Dudial,DODIAL,129010303,-,-,,325,313,638,1,1,2
"",,"DODIAL (MOHALLAHMIAL)",129010304,-,-,,284,265,549,,,
151 Total,,,,-,-,-,609,578,1187,1,1,2
152,"Government Girls High SchoolNaka Kahoot",SARDAR PURA,129020501,-,-,,2,0,2,2,2,4
"",,NIKKA KHOT,129020502,-,-,,57,47,104,,,
"",,NIKKA KHOT,129020503,-,-,,554,586,1140,,,
"",,NIKKA KHOT,129020504,-,-,,174,164,338,,,
"",,RAKH NIKA KHOT,129020510,-,-,,0,0,0,,,
152 Total,,,,-,-,-,787,797,1584,2,2,4
153,"Government High School NakaKahot",NIKKA KHOT,129020505,-,-,,158,179,337,2,2,4
"",,NIKKA KHOT,129020506,-,-,,106,109,215,,,
"",,NIKKA KHOT,129020507,-,-,,191,188,379,,,
"",,NIKKA KHOT,129020508,-,-,,239,227,466,,,
"",,NIKKA KHOT,129020509,-,-,,61,52,113,,,
153 Total,,,,-,-,-,755,755,1510,2,2,4
154,"Government Girls High SchoolMoorat",RAKH FAIZWALI,129020106,-,-,,0,0,0,2,2,4
"MURAT (DHOKEJHAMAL)",129020107,-,-,,362,365,727,,,,,
MURAT,129020108,-,-,,245,220,465,,,,,
MURAT,129020109,-,-,,233,223,456,,,,,
MURAT,129020110,-,-,,54,48,102,,,,,
155,"Government Boys High SchoolMalak Wal","MALIKWAL(MOHALLAH AWANABAD)",129010202,-,-,,574,0,574,2,0,2
"",,"MALIKWAL(MOHALLAHMUHAMMAD ABAD)",129010203,-,-,,262,0,262,,,
155 Total,,,,-,-,-,836,0,836,2,0,2
156,"Government Boys High SchoolMalak Wal","MALIKWAL(MOHALLAH AWANABAD)",129010202,-,-,,0,491,491,0,2,2
"",,"MALIKWAL(MOHALLAHMUHAMMAD ABAD)",129010203,-,-,,0,248,248,,,
156 Total,,,,-,-,-,0,739,739,0,2,2
157,"Government High SchoolMalakwal","MALIKWAL(MOHALLAHMEHMOOD ABAD)",129010204,-,-,,559,0,559,2,0,2
"",,"MAIKWAL (DHOKEGORIA MALIKWAL)",129010205,-,-,,510,0,510,,,
157 Total,,,,-,-,-,1069,0,1069,2,0,2
158,"Government  College  for WomenTalagang Malakwal","MALIKWAL(MOHALLAHMEHMOOD ABAD)",129010204,-,-,,0,479,479,0,2,2
"",,"MAIKWAL (DHOKEGORIA MALIKWAL)",129010205,-,-,,0,415,415,,,
158 Total,,,,-,-,-,0,894,894,0,2,2
159,"Government  College for  WomenTalagang Malakwal","MALIKWAL(MOHALLAH CHAKRAZA MACHINE)",129010208,-,-,,0,524,524,0,2,2
"MALIKWAL(MOHALLAH RORI)",129010209,-,-,,0,396,396,,,,,
159 Total,,,,-,-,-,0,920,920,0,2,2
"",,"MALIKWAL(MOHALLAH RORI)",129010209,-,-,,434,0,434,,,
160 Total,,,,-,-,-,944,0,944,2,0,2
161,"Government Girls High SchoolMalakwal","MALIKWAL (SARAKTALAGANG NAIABADI)",129010206,-,-,,633,593,1226,2,2,4
"",,"MALIKWAL (MADNIMASJID MEHMOODABAD)",129010207,-,-,,201,194,395,,,
161 Total,,,,-,-,-,834,787,1621,2,2,4
162,"Government Boys High SchoolMalakwal (Primary Portion)","MALIKWAL(MOHALLAHARAIYAN)",129010210,-,-,,808,760,1568,2,2,4
162 Total,,,,-,-,-,808,760,1568,2,2,4
163,Government High School Akwal,AKWAL,129010406,-,-,,496,0,496,3,0,3
"",,"AKWAL (MOHALLAHSADIQ ZAWAR)",129010409,-,-,,242,0,242,,,
"",,"AKWAL (MOHALLAHREHAN)",129010410,-,-,,249,0,249,,,
"",,"AKWAL (MOHALLAHSHARQI)",129010411,-,-,,421,0,421,,,
163 Total,,,,-,-,-,1408,0,1408,3,0,3
AKWAL,129010406,-,-,,0,439,439,,,,,
"AKWAL (MOHALLAHSADIQ ZAWAR)",129010409,-,-,,0,219,219,,,,,
"AKWAL (MOHALLAHREHAN)",129010410,-,-,,0,208,208,,,,,
164 Total,,,,-,-,-,0,1283,1283,0,2,2
165,Government High School Akwal,AKWAL,129010407,-,-,,243,0,243,2,0,2
"",,"AKWAL (GHARBIAKWAL)",129010408,-,-,,359,0,359,,,
"",,"AKWAL (MOHALLAHSHAHEEN MASJID)",129010412,-,-,,333,0,333,,,
165 Total,,,,-,-,-,935,0,935,2,0,2
166,"Government Girls High SchoolAkwal",AKWAL,129010407,-,-,,0,207,207,0,2,2
"",,"AKWAL (GHARBIAKWAL)",129010408,-,-,,0,307,307,,,
"",,"AKWAL (MOHALLAHSHAHEEN MASJID)",129010412,-,-,,0,317,317,,,
166 Total,,,,-,-,-,0,831,831,0,2,2
167,Government High School Akwal,"AKWAL (MOHALLAHQASIM ABAD)",129010413,-,-,,455,0,455,3,0,3
"",,"AKWAL (DHOKE RATIBAN)",129010414,-,-,,292,0,292,,,
"",,"AKWAL (MOHALLAHREHAN)",129010415,-,-,,628,0,628,,,
"",,AKWAL,129010416,-,-,,0,0,0,,,
167 Total,,,,-,-,-,1375,0,1375,3,0,3
168,Government High School Akwal,"AKWAL (MOHALLAHQASIM ABAD)",129010413,-,-,,0,427,427,0,2,2
"AKWAL (DHOKE RATIBAN)",129010414,-,-,,0,262,262,,,,,
"AKWAL (MOHALLAHREHAN)",129010415,-,-,,0,569,569,,,,,
AKWAL,129010416,-,-,,0,0,0,,,,,
169,Government High School Saghar,"SAGHAR (MOHALLAHLAL PURA)",129010101,-,-,,1093,0,1093,3,0,3
"",,"SAGHAR (MOHALLAHNIKI CHUI)",129010102,-,-,,242,0,242,,,
169 Total,,,,-,-,-,1335,0,1335,3,0,3
170,Government High School Saghar,"SAGHAR (MOHALLAHLAL PURA)",129010101,-,-,,0,1053,1053,0,2,2
"",,"SAGHAR (MOHALLAHNIKI CHUI)",129010102,-,-,,0,228,228,,,
170 Total,,,,-,-,-,0,1281,1281,0,2,2
171,Government High School Saghar,"SAGHAR (UNIONCOUNCIL)",129010103,-,-,,628,0,628,2,0,2
"",,"SAGHAR (MOHALLAHBAZAR)",129010107,-,-,,222,0,222,,,
"",,"SAGHAR (MOHALLAHGIRLS HIGH SCHOOL)",129010108,-,-,,223,0,223,,,
171 Total,,,,-,-,-,1073,0,1073,2,0,2
172,"Government Girls Primary SchoolNo.3 Saghar","SAGHAR (UNIONCOUNCIL)",129010103,-,-,,0,602,602,0,2,2
"SAGHAR (MOHALLAHBAZAR)",129010107,-,-,,0,231,231,,,,,
"SAGHAR (MOHALLAHGIRLS HIGH SCHOOL)",129010108,-,-,,0,208,208,,,,,
172 Total,,,,-,-,-,0,1041,1041,0,2,2
"",Saghar,"SAGHAR MOHALLAHJHANGI)",129010110,-,-,,555,548,1103,,,
173 Total,,,,-,-,-,759,737,1496,2,2,4
174,"Government Girls High SchoolSaghar","SAGHAR (MOHALLAHLAL ZAAR)",129010104,-,-,,618,561,1179,1,1,2
174 Total,,,,-,-,-,618,561,1179,1,1,2
175,Government High School Saghar,"SAGHAR (MOHALLAHMAIN BAZAR)",129010105,-,-,,454,424,878,2,2,4
"",,"SAGHAR (MOHALLAHGIRLS HIGH SCHOOL)",129010106,-,-,,281,274,555,,,
"",,"SAGHAR (MOHALLAHCHAK GHARIAL)",129010111,-,-,,83,59,142,,,
175 Total,,,,-,-,-,818,757,1575,2,2,4
176,"Government High School BilalAbad",BILAL ABAD,129010401,-,-,,438,416,854,1,1,2
176 Total,,,,-,-,-,438,416,854,1,1,2
177,"Government Girls High SchoolBilal Abad",BILAL ABAD,129010402,-,-,,574,0,574,2,0,2
"",,"BILALABAD(MOHALLAH BABAKARAM DEEN)",129010403,-,-,,532,0,532,,,
177 Total,,,,-,-,-,1106,0,1106,2,0,2
178,"Government Girls High SchoolBilal Abad",BILAL ABAD,129010402,-,-,,0,542,542,0,2,2
"",,"BILALABAD(MOHALLAH BABAKARAM DEEN)",129010403,-,-,,0,473,473,,,
178 Total,,,,-,-,-,0,1015,1015,0,2,2
179,"Government High School BilalAbad",BILAL ABAD,129010404,-,-,,761,0,761,3,0,3
"",,"BILALABAD (DHOKEAWAN)",129010405,-,-,,555,0,555,,,
179 Total,,,,-,-,-,1316,0,1316,3,0,3
180,Abad,"BILALABAD (DHOKEAWAN)",129010405,-,-,,0,467,467,0,2,2
180 Total,,,,-,-,-,0,1200,1200,0,2,2
181,"Government Girls High SchoolKallar Kahar",-,-,KALLAR KAHAR,131030103,,429,0,429,4,0,4
"",,-,-,"KALLAR KAHAR(MOHALLAH MUSTAFAABAD/ MOHALLAHCHAMAN ABAD/ JINAHCOLONY)",131030105,,254,0,254,,,
"",,-,-,"KALLAR KAHAR(MOHALLAH MUSTAFAABAD/ MOHALLAHMOHRA)",131030106,,412,0,412,,,
"",,-,-,"KALLAR KAHAR(MOHALLAHUSMAINA/MOHALLAHMOHRRA/MOHALLAHGHAUSIA)",131030306,,246,0,246,,,
"",,-,-,"KALLAR KAHAR(MOHALLAH GHOUSIA/MOHALLAHMOHRA/MOHALLAHUSMANIA)",131030307,,283,0,283,,,
181 Total,,-,-,-,-,-,1624,0,1624,4,0,4
"-",-,KALLAR KAHAR,131030103,,0,373,373,,,,,
"-",-,"KALLAR KAHAR(MOHALLAH MUSTAFAABAD/ MOHALLAHCHAMAN ABAD/ JINAHCOLONY)",131030105,,0,195,195,,,,,
"",Kallar Kahar,-,-,"KALLAR KAHAR(MOHALLAHUSMAINA/MOHALLAHMOHRRA/MOHALLAHGHAUSIA)",131030306,,0,254,254,,,
"",,-,-,"KALLAR KAHAR(MOHALLAH GHOUSIA/MOHALLAHMOHRA/MOHALLAHUSMANIA)",131030307,,0,287,287,,,
182 Total,,-,-,,,-,0,1445,1445,0,3,3
183,"Government Higher Secondaryschool Kallar Kahar",-,-,"KALLAR KAHAR(MOHALLAH PIRGHAZI/MOHALLAHFAROOQIA/ MOHALLAHAWAN)",131030101,,489,0,489,4,0,4
"",,-,-,"KALLAR KAHAR(MOHALLAH GHOUSIA/MOHALLAH JAMIAMASJID/ MOHALLAHMOHRA/ MOHALLAHDHOOK MUHAMMADKHAN)",131030102,,569,0,569,,,
"",,-,-,"KALLAR KAHAR(MOHALLAH HAJI FAZALDAD/ MOHALLAHBHATIAN)",131030104,,686,0,686,,,
183 Total,,-,-,,,-,1744,0,1744,4,0,4
"-",-,"KALLAR KAHAR(MOHALLAH PIRGHAZI/MOHALLAHFAROOQIA/ MOHALLAHAWAN)",131030101,,0,487,487,,,,,
184,"Government Girls High SchoolKallar Kahar",-,-,"KALLAR KAHAR(MOHALLAH GHOUSIA/MOHALLAH JAMIAMASJID/ MOHALLAHMOHRA/ MOHALLAHDHOOK MUHAMMADKHAN)",131030102,,0,508,508,0,4,4
"",,-,-,"KALLAR KAHAR(MOHALLAH HAJI FAZALDAD/ MOHALLAHBHATIAN)",131030104,,0,646,646,,,
184 Total,,-,-,,,-,0,1641,1641,0,4,4
185,"Government Boys Primary SchoolRehna Saddat",-,-,"RAHNA (MOHALLAHRAHNASADDAT/HATTAR)",131030201,,1239,0,1239,3,0,3
"",,-,-,"RAKH RAHNA(MOHALLAH RAHNASADDAT)",131030202,,0,0,0,,,
185 Total,,-,-,,,-,1239,0,1239,3,0,3
186,"Government Girls ElementarySchool Rehna Saddat",-,-,"RAHNA (MOHALLAHRAHNASADDAT/HATTAR)",131030201,,0,1191,1191,0,2,2
"",,-,-,"RAKH RAHNA(MOHALLAH RAHNASADDAT)",131030202,,0,0,0,,,
186 Total,,-,-,,,-,0,1191,1191,0,2,2
187,"Government Higher SecondarySchool Kallar Kahar",-,-,"MOHALLAH FAROOQABAD/MOHALLAHCHAKORA",131030303,,91,71,162,1,1,2
"",,-,-,MOHALLAH CHAKORA,131030304,,150,136,286,,,
187 Total,,-,-,,,-,241,207,448,1,1,2
188,"Government Elementary SchoolChumbi",-,-,CHUMBI,131030305,,746,776,1522,2,2,4
189,"Government Elementary schoolHattar",-,-,"RANG PUR (MOHALLAHCHAKI RAAMPUR/MOHALLAH EIDGAH)",131030204,,75,76,151,2,2,4
"",,-,-,"HATTAR (MOHALLAHHATTAR)",131030205,,455,420,875,,,
"",,-,-,"HATTAR (MOHALLAHDHOKE MASTAL/NETOWALAH)",131030206,,277,241,518,,,
189 Total,,-,-,,,-,807,737,1544,2,2,4
190,"Government Girls CommunityModel school Ratta Sharif",-,-,"RAKH BAGA(MOHALLAHBHAGA)",131030107,,0,0,0,1,1,2
"",,-,-,"RATTA (MOHALLAHRATTASHAREEF/MOHALLAHDHOKE AWAN)",131030203,,390,360,750,,,
"",,-,-,"MOHALLAH RAKHWARBAL",131030301,,0,0,0,,,
"",,-,-,MOHALLAH WARBAL,131030302,,55,11,66,,,
190 Total,,-,-,,,-,445,371,816,1,1,2
191,"Tehsil Municipal AdministrationOffice Talagang",-,-,"MOHALLAH KASHMIRI/MOHALLAH ALKARIM/MOHALLAH HAWA PURA",129090201,,443,0,443,3,0,3
"-",-,"MOHALLAH JINNAHPARK/ HAWA PURA/MAKKAH HAL/ MASJIDMADHIAL",129090202,,464,0,464,,,,,
"-",-,"MOHALLAH HAWA PURAJAFFAR COLONY/ MASJIDNOOR/ PINDI ROAD",129090203,,451,0,451,,,,,
192,"Government Girls MC HighSchool Talagang",-,-,"MOHALLAH KASHMIRI/MOHALLAH ALKARIM/MOHALLAH HAWA PURA",129090201,,0,432,432,0,2,2
"",,-,-,"MOHALLAH JINNAHPARK/ HAWA PURA/MAKKAH HAL/ MASJIDMADHIAL",129090202,,0,433,433,,,
"",,-,-,"MOHALLAH HAWA PURAJAFFAR COLONY/ MASJIDNOOR/ PINDI ROAD",129090203,,0,429,429,,,
192 Total,,-,-,,,-,0,1294,1294,0,2,2
193,"Government Girls Primary SchoolNo.3 Tlg Near Jinnah Park",-,-,"MOHALLAH SHETH WALI/MASJID MAHAJARIN",129090403,,521,491,1012,1,1,2
193 Total,,-,-,,,-,521,491,1012,1,1,2
"-",-,"TALAGANG GHARB(DHOK FATEH SHAH)",129090111,,3,0,3,,,,,
"-",-,"MOHALLAH HAWA PURA/ GALI FATIMA/ JINAHROAD/ MADNI CHOWK",129090204,,249,0,249,,,,,
"-",-,"MOHALLAH HAWA PURA/ MAKKI MASJID/TALAGANG SHARQI",129090205,,703,0,703,,,,,
"-",-,"MOHALLAH HAWA PURA/ SULTAN ROAD/ MASJIDFAROOQ E AZAM/ SYEDPUR",129090206,,536,0,536,,,,,
"",,-,-,"TALAGANG GHARB(MOHALLAH BILAL ABAD/DHOK SHAMSI/ SAITHWALI GALI)",129090410,,31,0,31,,,
194 Total,,-,-,,,-,1624,0,1624,4,0,4
195,"Government Girls ElementarySchool No. 5 Talagang",-,-,"TALAGANG GHARB(DHOK FATEH SHAH)",129090111,,0,11,11,0,4,4
"",,-,-,"MOHALLAH HAWA PURA/ GALI FATIMA/ JINAHROAD/ MADNI CHOWK",129090204,,0,228,228,,,
"",,-,-,"MOHALLAH HAWA PURA/ MAKKI MASJID/TALAGANG SHARQI",129090205,,0,656,656,,,
"",,-,-,"MOHALLAH HAWA PURA/ SULTAN ROAD/ MASJIDFAROOQ E AZAM/ SYEDPUR",129090206,,0,491,491,,,
"",,-,-,"TALAGANG GHARB(DHOK MAJHI/SHAKRIAL/ DHOK MIRIA)",129090211,,0,83,83,,,
"",,-,-,"TALAGANG GHARB(MOHALLAH BILAL ABAD/DHOK SHAMSI/ SAITHWALI GALI)",129090410,,0,23,23,,,
195 Total,,-,-,,,-,0,1492,1492,0,4,4
"-",-,"MOHALLAH SYED PURA/SAD SALAH SCHOOL",129090207,,403,0,403,,,,,
"-",-,"MOHALLAH SYED PURAFATIMA JINNAH ROAD/MASJID MINIAL",129090208,,426,0,426,,,,,
"",,-,-,"MOHALLAH NAI ABADI/MIR PUR/ SADIQ ABAD/LARI ADDA",129090210,,252,0,252,,,
196 Total,,-,-,,,-,1442,0,1442,4,0,4
197,Veterenary Hospital Talagang,-,-,"MOHALLAH SYED PURA/SAD SALAH SCHOOL",129090207,,0,390,390,0,4,4
"",,-,-,"MOHALLAH SYED PURAFATIMA JINNAH ROAD/MASJID MINIAL",129090208,,0,402,402,,,
"",,-,-,"MOHALLAH HAWA PURFATIMA JINAH ROADSAID PUR",129090209,,0,375,375,,,
"",,-,-,"MOHALLAH NAI ABADI/MIR PUR/ SADIQ ABAD/LARI ADDA",129090210,,0,209,209,,,
197 Total,,-,-,,,-,0,1376,1376,0,4,4
198,"Government Girls High SchoolNo.1 Talagang",-,-,"MOHALLAH DAK BANGLAMOWESHI HOSPITALHAIDRI HAIDER",129090301,,633,0,633,3,0,3
"",,-,-,"MOHALLAH SAID PUR/SHARQ WARD",129090401,,475,0,475,,,
"",,-,-,"MOHALLAH PIRBUKHARI/ SHARQ",129090402,,482,0,482,,,
198 Total,,-,-,,,-,1590,0,1590,3,0,3
199,"Government Girls High SchoolNo.1 Talagang",-,-,"MOHALLAH DAK BANGLAMOWESHI HOSPITALHAIDRI HAIDER",129090301,,0,601,601,0,3,3
"-",-,"MOHALLAH SAID PUR/SHARQ WARD",129090401,,0,489,489,,,,,
