ELECTION COMMISSION OF PAKISTAN,,,,,,,,,,,,
FORM-28,,,,,,,,,,,,
LIST OF POLLING STATION FOR A CONSTITUENCY,,,,,,,,,,,,
"",,,,,,,,,,,,
Election to the    *National Assembly,,,,,,,,,,,,
Provincial Assembly of the Punjab,,,,,,,,,,,,
No. and name of constituency      PP-46-NWL-I,,,,,,,,,,,,
"Sr.No","No. and name ofpolling station.",In case of rural areas,In case of urban areas,"S.No. ofvoters on theelectoral roll",Number of voters assigned,Number of polling booths.,,,,,,
77,"77-Govt. Girls Primary School Chahal.(Combined) (P)",Rajadha,183040702,,,,383,281,664,,,
"",,Seekhwan,183040703,,,,264,184,448,,,
"",,Total:-,,,,,647,465,1112,1,1,2
78,"78-Govt. Girls Primary School Chahal.(Combined) (P)",Butter.,183040707,,,,276,224,500,,,
"",,Chahal,183040708,,,,303,231,534,,,
"",,Total:-,,,,,579,455,1034,1,1,2
"",,Bhaida Khani,183040802,,,,215,155,370,,,
"",,"Kotali-Muhammad-Saddique.",183040804,,,,641,466,1107,,,
"",,Total:-,,,,,1162,843,2005,2,2,4
80,"80-Govt.Girls  P/S Muslamanian.(Combined) (P)",Mahmuwali,183040803,,,,255,188,443,,,
"",,Muslamania,183040805,,,,621,454,1075,,,
"",,Total:-,,,,,876,642,1518,2,1,3
81,"81-Govt. Girls P/S Ahlolal. (Combined)(P)",Neveen.,183041003,,,,401,300,701,,,
"",,Ahlolal,183041005,,,,358,255,613,,,
"",,Total:-,,,,,759,555,1314,2,1,3
82,"82-Govt. Boys P/S Ahlolal. (Combined)(P)",Ahlolal,183041004,,,,639,501,1140,,,
"",,,,,,,,,,,,
"",,Total:-,,,,,639,501,1140,1,1,2
83,"83-Govt.E/S Junda-Panwah. (Combined)(P)",Junda-Pannuwan.,183041002,,,,513,374,887,,,
"",,Rasool-Aunche,183041001,,,,260,167,427,,,
"",,Total:-,,,,,773,541,1314,2,1,3
84,"84-Govt.Girls P/S LodhiKhangora.(Combined) (P)",Lodhi Khangora,183041101,,,,280,212,492,,,
"",,Ballowali,183041103,,,,285,226,511,,,
"",,Mian Khangora,183041301,,,,291,263,554,,,
"",,Total:-,,,,,856,701,1557,2,2,4
85,85-Govt.Girls CMS Fleezpur. (Combined),Gandowali,183041102,,,,292,231,523,,Sensitive,
"",,Narang Wali,183040902,,,,160,99,259,,,
"",,Sair Fateh.,183041105,,,,157,127,284,,,
"",,Total:-,,,,,609,457,1066,1,1,2
"",,,,,,,,,,,,
86,"86-Govt.Girls CMS Fleezpur.(Combined)",Fleezpur,183041104,,,,756,591,1347,,,
"",,,,,,,,,,,,
"",,Total:-,,,,,756,591,1347,2,1,3
87,87-Govt. PS Kasso Wali(Combined),Kasso Wali,183041201,,,,222,185,407,,,
"",,Kasso Wali,183041202,,,,158,111,269,,,
"",,Satto Bajwah.,183041205,,,,51,34,85,,,
"",,Total:-,,,,,431,330,761,1,1,2
88,"88-Govt.Girls High School Chak Shahab-De-Kay. (Combined) (P)",Shahab Dekay,183041203,,,,655,510,1165,,,
"",,Gajo Kay,183041204,,,,455,337,792,,,
"",,Chak Shab Dekay,183041206,,,,1,0,1,,,
"",,Total:-,,,,,1111,847,1958,2,2,4
89,"89-Govt. Boys H/S Domala. (Combined)(P)",Domala.,183041207,,,,272,183,455,,,
"",,Domala.,183041209,,,,406,322,728,,,
"",,,,,,,,,,,,
"",,Total:-,,,,,678,505,1183,2,1,3
"",,,,,,,,,,,,
90,"90-Govt. Boys H/S Domala. (Combined)(P)",Domala.,183041208,,,,605,527,1132,,,
"",,,,,,,,,,,,
"",,,,,,,,,,,,
"",,,,,,,,,,,,
91,"91-Govt. Boys H/S Alipur Syedan (HighPortion)(Combined) (P)",Alipur Syedan,183041303,,,,374,269,643,,,
"",,"Mohal Saeedpur.BC",183041304,,,,0,0,0,,,
"",,Fatehpur Syedan,183041305,,,,124,92,216,,,
"",,Khairullah pur,183041306,,,,143,114,257,,,
"",,,,,,,,,,,,
"",,Total:-,,,,,641,475,1116,2,1,3
"",,,,,,,,,,,,
92,"92-Govt. Boys H/S Alipur Syedan(Praumri Portion)(Combined) (P)",Alipur Syedan,183041302,,,,645,552,1197,,,
"",,Total:-,,,,,645,552,1197,2,1,3
93,93-Govt. Boys E/S Cheda. (Male) (P),Cheeda,183041401,,,,780,,780,,Sensitive,
"",,Cheeda,183041402,,,,313,,313,,,
"",,Total:-,,,,,1093,,1093,2,0,2
94,"94-Govt. Boys Elementary  SchoolCheda. (Female) (P)",Cheeda,183041401,,,,,686,686,,Sensitive,
"",,Cheeda,183041402,,,,,222,222,,,
"",,Total:-,,,,,,908,908,0,2,2
"",,,,,,,,,,,,
95,"95-Govt. Girls  Primary School Cheema.(Combined) (P)",Budha Dharag,183041403,,,,368,252,620,,,
"",,Jakhar,183041405,,,,211,141,352,,,
"",,Total:-,,,,,579,393,972,1,1,2
96,"96-Govt. Girls Primary School Cheema.(Combined) (P)",Cheema,183041406,,,,443,315,758,,,
"",,Kotli Sangay,183040202,,,,281,173,454,,,
"",,Total:-,,,,,724,488,1212,2,1,3
97,"97-Govt.Girls Primary School Khewa.(Combined) (P)",Kot Arriyan,183041404,,,,253,194,447,,,
"",,Khewa.,183040203,,,,427,297,724,,,
"",,Total:-,,,,,680,491,1171,1,1,2
98,"98-Govt.Girls P/S ,Lala. (Combined) (P)",Lala.,183041407,,,,381,288,669,,,
"",,Lala.,183041408,,,,640,485,1125,,,
"",,Total:-,,,,,1021,773,1794,2,2,4
99,99-Govt. Girls P/S Raoke (Combined) (P),Kotly Chamrang,183050101,,,,131,106,237,,,
"",,Raoke,183050103,,,,653,522,1175,,,
"",,Daddorha,183050105,,,,227,154,381,,,
"",,,Total,,,,1011,782,1793,2,2,4
100,"100-Govt. Girls E/S Rattian (Combined)(P)",Rattian,183050102,,,,424,354,778,,,
"",,Mallokey,183050104,,,,252,208,460,,,
"",,Chak Rattian,183050106,,,,227,154,381,,,
"",,,Total,,,,903,716,1619,2,1,3
"",,,,,,,,,,,,
"",,,,,,,,,,,,
101,"101-Govt. Girls E/S Dharag Miana(Combined) (P)",Dharag Miana,183050201,,,,538,420,958,,,
"",,Dharag Miana,183050202,,,,159,93,252,,,
"",,,Total,,,,787,574,1361,2,1,3
102,102-Govt. Girls P/S Dhey  (Combined) (P),Dhey,183050203,,,,577,480,1057,,,
"",,Kalkhana,183050205,,,,560,477,1037,,,
"",,,Total,,,,1137,957,2094,2,2,4
103,103-Govt. H/S Niddokey (Combined) (P),Niddokey,183050301,,,,508,361,869,,,
"",,Mehmand,183050302,,,,138,101,239,,,
"",,Lehlian,183050303,,,,587,452,1039,,,
"",,Chak Niddokey.B.C,183050306,,,,0,0,0,,,
"",,,Total,,,,1233,914,2147,2,2,4
104,"104-Govt. Boys P/S Thaitharwali(Combined) (P)",Thaitharwali,183050304,,,,736,431,1167,,,
"",,"ChakThaitharwali.B.C",183050307,,,,0,0,0,,,
"",,,Total,,,,736,431,1167,2,1,3
105,"105-Govt. Girls P/S Megha Khara(Combined) (P)",,,,,,,,,,,
"",,Megha Khara,183050305,,,,682,533,1215,,,
"",,,Total,,,,682,533,1215,2,1,3
106,"106-Govt. Girls P/S Khakh (Combined)(P)",Khakh,183050401,,,,327,250,577,,,
"",,Vanjal,183050403,,,,140,85,225,,,
"",,Rashidpura,183050405,,,,243,217,460,,,
"",,,Total,,,,710,552,1262,2,1,3
107,"107-Govt. Girls H/S Gangor (Combined)(P)",Gangor,183050402,,,,603,472,1075,,,
"",,Rampur,183050404,,,,246,171,417,,,
"",,,Total,,,,849,643,1492,2,1,3
108,"108-Govt. Girls P/S Bhatti Wali(Combined) (P)","Rasool purBhindran",183050501,,,,222,111,333,,,
"",,Kang Belawala,183050503,,,,313,181,494,,,
"",,Kotli   BC,183050504,,,,0,0,0,,,
"",,Rahola,183050505,,,,340,203,543,,,
"",,Dolowana B.C,183050507,,,,0,0,0,,,
"",,Bhattiwali,183050508,,,,185,100,285,,,
"",,,Total,,,,1060,595,1655,2,1,3
109,109-Govt. E/S Malook pur (Combined) (P),Othian,183050502,,,,296,166,462,,,
"",,Malookpur,183050506,,,,536,355,891,,,
"",,,Total,,,,832,521,1353,2,1,3
110,"110-Govt. Girls H/S Datewal (Combined)(P)",Chak Datewal B.C,183050601,,,,0,0,0,,,
"",,Aodho Wali,183050602,,,,72,40,112,,,
"",,Bath,183050603,,,,174,133,307,,,
"",,Jhadha,183050604,,,,199,137,336,,,
"",,Mohanwali,183050605,,,,179,127,306,,,
"",,,Total,,,,624,437,1061,1,1,2
111,"111-Govt. Girls H/S Datewal (Combined)(P)",Datewal,183050606,,,,679,491,1170,,,
"",,,Total,,,,679,491,1170,1,1,2
"",,Harri Chand Pura,183050702,,,,93,71,164,,,
"",,,Total,,,,956,673,1629,2,1,3
113,"113-Govt. Girls P/S Rangepur(Combined) (P)",Loban,183050703,,,,238,175,413,,,
"",,Lale pur,183050704,,,,87,39,126,,,
"",,Range pur,183050707,,,,259,171,430,,,
"",,Mohajan,183050708,,,,353,211,564,,,
"",,,Total,,,,937,596,1533,2,1,3
114,"114-Govt. Girls E/S Ainno Bajwa(Combined) (P)",Einno Bajwa,183050705,,,,729,513,1242,,,
"",,"Luddarh KaramSing",183050706,,,,194,150,344,,,
"",,,Total,,,,923,663,1586,2,2,4
115,"115-Govt. Girls E/S Mianwali.(Combined) (P)",Mianwali,183050801,,,,470,309,779,,,
"",,Mianwali,183050802,,,,287,205,492,,,
"",,Bogal Najar,183051001,,,,130,75,205,,,
"",,,Total,,,,887,589,1476,2,1,3
116,116-Govt. E/S Dhilli(Male)  (P),Dhilli No.1,183050803,,,,420,,420,,,
"",,Dhilli No.2,183050804,,,,193,,193,,,
"",,Dhilli No.3,183050805,,,,872,,872,,,
"",,,Total,,,,1485,,1485,3,,3
117,117-Govt. Girls E/S Dhilli (Female)  (P),Dhilli No.1,183050803,,,,,325,325,,,
"",,Dhilli No.2,183050804,,,,,134,134,,,
"",,Dhilli No.3,183050805,,,,,619,619,,,
"",,,Total,,,,,1078,1078,,2,2
118,"118-Govt. Girls E/S Bhodhi Mallian(Combined) (P)",Bhodhi Mallian,183050901,,,,312,194,506,,,
"",,Chandarkey,183051101,,,,298,199,497,,,
"",,,Total,,,,610,393,1003,1,1,2
119,"119-Govt. Girls P/S Aidhipur  (Combined)(P)",Chanekye,183050902,,,,106,67,173,,,
"",,Aidhipur,183050903,,,,293,225,518,,,
"",,Talwarah,183050904,,,,184,129,313,,,
"",,,Total,,,,583,421,1004,1,1,2
120,"120-Govt. Boys H/S Khokhar wali(Combined) (P)",Pohla Maharan,183051002,,,,126,94,220,,,
"",,Khokhar Wali,183051003,,,,401,305,706,,,
"",,,Total,,,,527,399,926,1,1,2
121,"121-Govt. Girls P/S Gullah Mohara.(Combined) (P)",Gullah Mohara,183051004,,,,769,592,1361,,,
"",,Gullah Mohara,183051005,,,,153,108,261,,,
"",,,Total,,,,922,700,1622,2,1,3
122,"122-Govt.  Islamia H/S ChanderkeyMangoley (Combined) (P)",Mangola,183051102,,,,379,341,720,,,
"",,Akalgarh,183051103,,,,78,28,106,,,
"",,Nangal Shahu,183051104,,,,278,222,500,,,
"",,,Total,,,,735,591,1326,2,1,3
123,"123-Govt. Boys CD Islamia H/S TalwandiBhindran (Male)  (P)",Talwandi Bhindran-I,183051201,,,,1073,,1073,,,
"",,"Talwandi Bhindran-II",183051202,,,,259,,259,,,
124,"124-Govt. Boys CD Islamia H/S TalwandiBhindran(Female)  (P)",Talwandi Bhindran-I,183051201,,,,,843,843,,,
"",,"Talwandi Bhindran-II",183051202,,,,,185,185,,,
"",,,Total,,,,,1028,1028,,2,2
125,"125-Govt. Girls H/S TalwandiBhindran(Male)  (P)",Talwandi Bhindran,183051203,,,,479,,479,,,
"",,Talwandi Bhindran,183051204,,,,351,,351,,,
"",,Talwandi Bhindran,183051206,,,,292,,292,,,
"",,Talwandi Bhindran,183051207,,,,305,,305,,,
"",,,Total,,,,1427,,1427,4,,4
126,"126-Govt. Girls H/S TalwandiBhindran(Female)  (P)",Talwandi Bhindran,183051203,,,,,388,388,,,
"",,Talwandi Bhindran,183051204,,,,,279,279,,,
"",,Talwandi Bhindran,183051206,,,,,219,219,,,
"",,Talwandi Bhindran,183051207,,,,,220,220,,,
"",,,Total,,,,,1106,1106,,3,3
127,"127-Govt. Boys CD Islamia High SchoolTalwandi Bhindran(Combined)",Talwandi Bhindran,183051205,,,,756,611,1367,,,
"",,,,,,,,,,,,
"",,,Total,,,,756,611,1367,2,1,3
128,"128-Govt. Girls P/S Baley Ke Kalan(Combined) (P)",Baley Ke Kalan,183051208,,,,623,352,975,,,
"",,Sheikhu Pura,183051211,,,,168,111,279,,,
"",,,Total,,,,791,463,1254,2,1,3
129,"129-Govt. Girls P/S Adokey Kalan(Combined) (P)",Adokey Kalan,183051209,,,,435,280,715,,,
"",,Charh Key,183051210,,,,383,262,645,,,
"",,"Chak Charh KeyB.C.",183051212,,,,0,0,0,,,
"",,,Total,,,,818,542,1360,2,1,3
130,130-Govt. Higher S/S Hallowal (Male) (P),Hallowal-I,183051301,,,,574,,574,,,
"",,Hallowal-II,183051302,,,,853,,853,,,
"",,Hallowal-III,183051303,,,,482,,482,,,
"",,,Total,,,,1909,,1909,4,,4
131,131-Govt. Girls H/S Hallowal(Female)  (P),Hallowal-I,183051301,,,,,407,407,,,
"",,Hallowal-II,183051302,,,,,583,583,,,
"",,Hallowal-III,183051303,,,,,326,326,,,
"",,,Total,,,,,1316,1316,,2,2
132,"132-Govt. Girls P/S Gopalpur(Combined) (P)",Gopalpur,183051304,,,,598,433,1031,,,
"",,,Total,,,,598,433,1031,1,1,2
133,"133-Govt. H/S Dharag Miana (Combined)(P)",Tatla,183051401,,,,255,160,415,,,
"",,Kotly Mammola,183051406,,,,374,318,692,,,
"",,,Total,,,,1144,897,2041,2,2,4
134,"134-Govt. Girls H/S Budhah Dhola (Male)(P)",Bhago Jhoorhi,183051402,,,,215,,215,,,
"",,Laddarh,183051403,,,,213,,213,,,
"",,Budhah Dolah,183051404,,,,807,,807,,,
"",,,Total,,,,1235,,1235,3,,3
135,"135-Govt. Girls H/S Budhah Dhola(Female) (P)",Bhago Jhoorhi,183051402,,,,,148,148,,,
"",,Laddarh,183051403,,,,,125,125,,,
"",,Budhah Dolah,183051404,,,,,565,565,,,
"",,,Total,,,,,838,838,,2,2
"",,,,,,,,,,,,
136,"136-Govt. Boys H/S Building No.1 AhmadAbad(Male) (P)",,,"Rural Health Center, TC.Ahmad Abad",183100101,,333,,333,,,
"",,,,Unit Office Ahmad Abad TC,183100102,,372,,372,,,
"",,,,"Muhallah Gousia Nagarh, TC,Ahmad Abad",183100103,,449,,449,,,
"",,,,Total:-,,,1154,,1154,3,0,3
137,"137-Govt. Boys H/S Building No.1 Ahmadabad(Female) (P)",,,"Rural Health Center, TC.Ahmad Abad",183100101,,,300,300,,,
"",,,,Unit Office Ahmad Abad TC,183100102,,,312,312,,,
"",,,,"Muhallah Gousia Nagarh, TC,Ahmad Abad",183100103,,,353,353,,,
"",,,,Total:-,,,,965,965,,2,2
138,"138-Govt. Boys H/S Building No.1 AhmadAbad(Combined) (P)",,,"Rail Bazar, TC, Ahmad Abad",183100104,,340,271,611,,,
"",,,,"Muhallah Billo, TC, AhmadAbad",183100105,,675,564,1239,,,
"",,,,Total:-,,,1015,835,1850,2,2,4
139,"139-Govt. Girls Higher Secendry SchoolAhmad Abad (Combined)",,,"Chungi Jammu Gate, TC,Ahmad Abad",183100201,,472,395,867,,,
"",,,,"Muhallah Shaikhan, TC,Ahmad Abad",183100202,,498,433,931,,,
"",,,,Total:-,,,970,828,1798,2,2,4
140,"140-Govt. Boys P/S No. 2 AhmadAbad(Combined) (P)",,,"Muhallah Imam Bargah , TC,Ahmad Abad",183100203,,612,588,1200,,,
"",,,,Total:-,,,612,588,1200,1,1,2
141,"141-Govt. Girls Higher SecendrySchool,Ahmadabad(Combined)",,,"Muhallah Pasrori Gate, TC.Ahmad Abad",183100204,,611,523,1134,,,
"",,,,Total:-,,,611,523,1134,1,1,2
142,"142-Govt. Girls High School AhmadAbad(Combined) (P)",,,"Circular Road Waterworkas,TC, Ahmad abad",183100205,,421,355,776,,,
"",,,,"Muhallah Kashmirian, TC,Ahmad Abad",183100206,,469,397,866,,,
"",,,,Total:-,,,890,752,1642,2,2,4
"",,,,,,,,,,233,173,406
"",,,,,,,,,,,,
No. and name of constituency      PP-49-NWL-IV,,,,,,,,,,,,
"Sr.No","No. and name ofpolling station.",In case of rural areas,In case of urban areas,"S.No. ofvoters on theelectoral roll",Number of voters assigned,Number of polling booths.,,,,,,
"Name of ElectoralArea","Censusblock code",Name of Electoral Area,"Censusblock code",Male.,Female.,Total.,Male.,Female.,Total.,,,
1,"1-Lab Model School Elementary CollegeNarowal(Male) (P)",,,Raehman Pura,183070111,,1303,,1303,,,
"",,,,,Total,,1303,,1303,3,,3
2,"2-Lab Model School Elementary CollegeNarowal(Female) (P)",,,Raehman Pura,183070111,,,1120,1120,,,
"",,,,,Total,,,1120,1120,,3,3
"",,,,,,,,,,,,
3,3-Govt. Eman Girls H/S Narowal(Male),,,Muhallah Ansarian,183070101,,616,,616,,,
"",,,,Jamia Musjad Majaddia,183070103,,752,,752,,,
"",,,,Muhallah Ansarian,183070102,,140,,140,,,
"",,,,Muhallah Ansarian,183070108,,154,,154,,,
"",,,,Muhallah Ansarian,183070109,,147,,147,,,
"",,,,,,,,,,,,
"",,,,,Total,,1809,,1809,4,,4
4,4-Govt. Eman Girls H/S Narowal(Female),,,Muhallah Ansarian,183070101,,,436,436,,,
"",,,,Jamia Musjad Majaddia,183070103,,,644,644,,,
"",,,,Muhallah Ansarian,183070102,,,123,123,,,
"",,,,Muhallah Ansarian,183070108,,,125,125,,,
"",,,,Muhallah Ansarian,183070109,,,106,106,,,
"",,,,,Total,,,1434,1434,,2,2
"",,,,,,,,,,,,
5,"5-Govt.Boys P/S Siddique PuraNarowal(Male) (P)",,,Saddique Pura,183070104,,466,,466,,,
"",,,,Saddique Pura,183070110,,550,,550,,,
"",,,,,Total,,1016,0,1016,2,,2
6,"6-Govt.Boys P/S Siddique PuraNarowal(Female) (P)",,,Saddique Pura,183070104,,,441,441,,,
"",,,,Saddique Pura,183070110,,,497,497,,,
"",,,,,Total,,0,938,938,,2,2
7,"7-Govt.Boys P/S Siddique PuraNarowal(Male) (P)",,,Naqasband Abad,183070105,,609,,609,,,
"",,,,Chowk Aman-Ullaha Shaller,183070106,,383,,383,,,
"",,,,Meeran Shah Hussain,183070107,,468,,468,,,
"",,,,,Total,,1460,,1460,3,,3
8,"8-Govt.Girls P/S Siddique PuraNarowal(Female) (P)",,,Naqasband Abad,183070105,,,251,251,,,
"",,,,Chowk Aman-Ullaha Shaller,183070106,,,317,317,,,
"",,,,Meeran Shah Hussain,183070107,,,379,379,,,
"",,,,,Total,,,947,947,,2,2
9,"9-Govt. Boys Elementary School ChanPir Narowal(Male) (P)",,,Circular Road,183070201,,544,,544,,,
"",,,,Masjid Hayaatunabi,183070202,,242,,242,,,
"",,,,Masjid Hayaatunabi,183070207,,836,,836,,,
"",,,,,Total,,1622,,1622,4,,4
10,"10-Govt. Boys Elementary School ChanPir Narowal(Female) (P)",,,Circular Road,183070201,,,481,481,,,
"",,,,Masjid Hayaatunabi,183070202,,,227,227,,,
"",,,,Masjid Hayaatunabi,183070207,,,685,685,,,
"",,,,,Total,,,1393,1393,,3,3
11,"11-Govt. Muslim College for WomenNarowal (Male) (P)",,,Girls College,183070203,,537,,537,,,
"",,,,Madrassa Ali Muhammad,183070204,,697,,697,,,
"",,,,,Total,,1589,,1589,4,,4
12,"12-Govt. Muslim College for WomenNarowal(Female) (P)",,,Girls College,183070203,,,494,494,,,
"",,,,Madrassa Ali Muhammad,183070204,,,600,600,,,
"",,,,Madrassa Ali Muhammad,183070208,,,355,355,,,
"",,,,,Total,,,1449,1449,,3,3
13,"13-Govt. Muslim Girls H/S Narowal(Male)(P)",,,Chowk Abu Bakar,183070205,,452,,452,,,
"",,,,Chowk Ali Masjid,183070206,,562,,562,,,
"",,,,Basti Essaian,183070301,,280,,280,,,
"",,,,Muhallah Hajvair Nagar,183070304,,258,,258,,,
"",,,,,Total,,1552,,1552,3,,3
14,"14-Govt. Muslim Girls H/S Narowal(Female) (P)",,,Chowk Abu Bakar,183070205,,,377,377,,,
"",,,,Chowk Ali Masjid,183070206,,,491,491,,,
"",,,,Basti Essaian,183070301,,,229,229,,,
"",,,,Muhallah Hajvair Nagar,183070304,,,221,221,,,
"",,,,,Total,,,1318,1318,,3,3
15,"15-Govt. Degree College Narowal (Male)(P)",,,Modal Town,183070302,,515,,515,,,
"",,,,Rangar Headquarter,183070303,,196,,196,,,
"",,,,Muhallah Razivia Collony,183070305,,125,,125,,,
"",,,,Chowk S.P. Hous,183070306,,107,,107,,,
"",,,,Jassar Bypass,183070307,,249,,249,,,
"",,,,Govt. Degree College Boys,183070406,,516,,516,,,
"",,,,,,,,,,,,
"",,,,,Total,,1708,,1708,4,,4
16,"16-Govt. Degree College Narowal(Female) (P)",,,Modal Town,183070302,,,484,484,,,
"",,,,Rangar Headquarter,183070303,,,181,181,,,
"",,,,Muhallah Razivia Collony,183070305,,,98,98,,,
"",,,,Chowk S.P. Hous,183070306,,,109,109,,,
"",,,,Jassar Bypass,183070307,,,236,236,,,
"",,,,Govt. Degree College Boys,183070406,,,483,483,,,
"",,,,,,,,,,,,
"",,,,,Total,,,1591,1591,,4,4
17,17-Govt. M.B.Girls H/S Narowal(Male) (P),,,Darbar Shah Zaman,183070401,,823,,823,,,
"",,,,Abu Bakar Pura,183070402,,573,,573,,,
"",,,,,,,,,,,,
"",,,,,Total,,1396,,1396,3,,3
18,"18-Govt. Girls P/S Parana CommetteeGhar Narowal (Female) (P)",,,Darbar Shah Zaman,183070401,,,754,754,,,
"",,,,Abu Bakar Pura,183070402,,,519,519,,,
"",,,,,,,,,,,,
"",,,,,Total,,,1273,1273,,3,3
19,19-Saint Pal Girls E/S Narowal(Male) (P),,,Muhallah Shafakhana Havanat,183070403,,214,,214,,,
"",,,,Civil Hospital,183070404,,610,,610,,,
"",,,,Civil Hospital,183070408,,308,,308,,,
"",,,,,Total,,1132,,1132,2,,2
20,"20-Saintpal Girls E/S Narowal(Female)(P)",,,Muhallah Shafakhana Havanat,183070403,,,181,181,,,
"",,,,,Civil Hospital,183070408,,,247,247,,,
"",,,,,,Total,,,956,956,,2,2
"",21,"21-Govt. Girls Primary School Zakir Pura(Male)",,,Muhallah Zakir Pura,183070405,,751,,751,,,
"",,,,,Muhallah Zakir Pura,183070409,,298,,298,,,
"",,,,,,Total,,1049,0,1049,2,,2
"",22,"22-Govt. Girls Primary School Zakir Pura(Female)",,,Muhallah Zakir Pura,183070405,,,780,780,,,
"",,,,,Muhallah Zakir Pura,183070409,,,231,231,,,
"",,,,,,Total,,,1011,1011,,2,2
"",23,23-Govt. N.S. School Narowal(Male) (P),,,Rahmat Collony,183070501,,290,,290,,,
"",,,,,Hayat Town,183070502,,103,,103,,,
"",,,,,"Railway Phatic Boys CollegeHostil",183070503,,174,,174,,,
"",,,,,Muhallah Esa Nagri,183070504,,372,,372,,,
"",,,,,D.C. House,183070407,,260,,260,,,
"",,,,,,Total,,1199,,1199,2,,2
"",24,24-Govt. H/S Narowal (Female) (P),,,Rahmat Collony,183070501,,,260,260,,,
"",,,,,Hayat Town,183070502,,,92,92,,,
"",,,,,"Railway Phatic Boys CollegeHostil",183070503,,,161,161,,,
"",,,,,Muhallah Esa Nagri,183070504,,,364,364,,,
"",,,,,D.C. House,183070407,,,247,247,,,
"",,,,,,Total,,,1124,1124,,3,3
"",25,25-Govt. N.S. School Narowal(Male) (P),,,Salater House,183070505,,408,,408,,,
"",,,,,Salater House,183070506,,1073,,1073,,,
"",,,,,Salater House,183070507,,235,,235,,,
"",,,,,,Total,,1716,,1716,4,,4
"",26,26-Govt. H/S Narowal (Female) (P),,,Salater House,183070505,,,399,399,,,
"",,,,,Salater House,183070506,,,823,823,,,
"",,,,,Salater House,183070507,,,256,256,,,
"",,,,,,Total,,,1478,1478,,3,3
"",27,"27-Govt. Labe Model SchoolNarowal(Male)",,,Muhallah Charg Pura,183080101,,754,,754,,,
"",,,,,Ansari Mobile Phone Center,183080102,,700,,700,,,
"",,,,,,Total,,1454,,1454,3,,3
"",28,"28-Govt. Labe Model SchoolNarowal(Female)",,,Muhallah Charg Pura,183080101,,,593,593,,,
"",,,,,Ansari Mobile Phone Center,183080102,,,609,609,,,
"",,,,,,Total,,,1202,1202,,2,2
"",29,"29-Govt.Elementary CollegeNarowalCombined) (P)",,,Sialkot Railway Phatic,183080103,,235,191,426,,,
"",,,,,Gired Station,183080104,,174,127,301,,,
"",,,,,Sabzi Mandi,183080105,,283,220,503,,,
"",,,,,,,,,,,,,
"",,,,,,Total,,692,538,1230,2,1,3
"",30,"30-Govt.Elementary CollegeNarowalCombined) (P)",,,Muhallah Abbas Nager,183080201,,750,632,1382,,,
"",,,,,,,,,,,,,
"",,,,,,Total,,750,632,1382,2,1,3
"",,,,Gali Maqsood Oppal Wali,183080203,,312,,312,,,
"",,,,Chowk Abdul Hameed Kabaria,183080204,,238,,238,,,
"",,,,,Total,,1240,0,1240,3,,3
32,"32-Govt. Boarding P/S Zafarwal RoadNarowal(Female) (P)",,,Muhallah Jillani Colony,183080202,,,577,577,,,
"",,,,Gali Maqsood Oppal Wali,183080203,,,247,247,,,
"",,,,Chowk Abdul Hameed Kabaria,183080204,,,207,207,,,
"",,,,,Total,,0,1031,1031,,2,2
33,33-Govt.Muslim H/S Narowal (Male) (P),,,Muhallah Rasool Pura,183080205,,616,,616,,,
"",,,,Muhallah Rasool Pura,183080206,,505,,505,,,
"",,,,Railway Station,183080401,,306,,306,,,
"",,,,,Total,,1427,0,1427,3,,3
34,"34-Govt.Girls P/S RasulpuraNarowal(Female) (P)",,,Muhallah Rasool Pura,183080205,,,527,527,,,
"",,,,Muhallah Rasool Pura,183080206,,,401,401,,,
"",,,,Railway Station,183080401,,,260,260,,,
"",,,,,Total,,,1188,1188,,2,2
35,"35-Govt.Boys P/S Panju ShahSaran(Male) (P)",,,City police station,183080301,,501,,501,,,
"",,,,Office Civil Defence,183080302,,836,,836,,,
"",,,,,Total,,1337,,1337,3,,3
36,"36-Govt. Girls P/S Panju Shah Saran-Ralway road Narowal (Female)  (P)",,,City police station,183080301,,,438,438,,,
"",,,,Office Civil Defence,183080302,,,736,736,,,
"",,,,,Total,,,1174,1174,,2,2
37,"37-Govt. Boys Primary School No.2Islampura(Male)",,,Masjid Aray Wali,183080303,,1111,,1111,,,
"",,,,"Javed Hotel MohallahMuhammad pura",183080304,,343,,343,,,
"",,,,"Javed Hotel MohallahMuhammad pura",183080306,,520,,520,,,
"",,,,,Total,,1974,,1974,4,,4
38,"38-Govt. Jinnah Girls P/S Near WaterWorks Islampura (Female) (P)",,,Masjid Aray Wali,183080303,,,951,951,,,
"",,,,"Javed Hotel MohallahMuhammad pura",183080304,,,317,317,,,
"",,,,"Javed Hotel MohallahMuhammad pura",183080306,,,251,251,,,
"",,,,,Total,,,1519,1519,,3,3
39,"39-CMS Mission High School Narowal(Male) (P)",,,Tehsil Office,183080305,,95,,95,,,
"",,,,Muhalla Ganj Hussain abad,183080402,,1063,,1063,,,
"",,,,Muhalla Ganj Hussain abad,183080407,,467,,467,,,
"",,,,"Arhat Malik Kala & SultanGujar",183080406,,20,,20,,,
"",,,,,Total,,1645,,1645,4,,4
40,"40-Govt. Boys P/S Amin Colony Narowal(Female) (P)",,,Tehsil Office,183080305,,,144,144,,,
